business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
grumpy-goat-tavern-elgin,Grumpy Goat Tavern,https://www.yelp.com/biz/grumpy-goat-tavern-elgin,4.5,"[Category(name='Cajun/Creole', alias='cajun'), Category(name='Irish Pub', alias='irish_pubs'), Category(name='Beer, Wine & Spirits', alias='beer_and_wine')]",['875 Sports Way'],US,Elgin,IL,60123,91,False,"Don't say no to this Grumpy animal.

Hidden off of McLean Avenue is one of the few true gems of Elgin.  This eatery, located at a Golf course, is...",0
larsas-kitchen-elgin,Larsa's Kitchen,https://www.yelp.com/biz/larsas-kitchen-elgin,4.5,"[Category(name='Mediterranean', alias='mediterranean')]",['1188 N McLean Blvd'],US,Elgin,IL,60123,114,False,"Awesome good. 
It's located in bp gas station. Prob the best in this town. 
Must go and try it . Good people here to",0
elgin-public-house-elgin,Elgin Public House,https://www.yelp.com/biz/elgin-public-house-elgin,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='American (Traditional)', alias='tradamerican')]",['219 E Chicago St'],US,Elgin,IL,60120,294,True,"""Wow ""is what comes to mind when I think of Elgin Public House...lots of good choices.  From where to b seated (Giant TV view or quiet elegant space...",0
als-cafe-and-creamery-elgin,Al's Cafe & Creamery,https://www.yelp.com/biz/als-cafe-and-creamery-elgin,4.5,"[Category(name='Diners', alias='diners')]",['43 Du Page Ct'],US,Elgin,IL,60120,164,True,"This was my first time dining at Al's Cafe & Creamery and I was THOROUGHLY satisfied.  The decor of Al's Cafe is similar to dining at someone's home,...",0
rays-family-restaurant-elgin,Ray's Family Restaurant,https://www.yelp.com/biz/rays-family-restaurant-elgin,4.5,"[Category(name='Diners', alias='diners'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['801 Saint Charles St'],US,Elgin,IL,60120,83,False,"Best place around!!  Everything is delicious here, don't forget dessert.   My favorite meal is Rays combination omelette with crispy American fries and dry...",0
alexanders-cafe-elgin,Alexander's Cafe,https://www.yelp.com/biz/alexanders-cafe-elgin,4.0,"[Category(name='Diners', alias='diners'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['1725 N State St'],US,Elgin,IL,60123,155,True,"Needed a place to eat beofre the Daughtry concet last night. Chost Alexander's Place based on the good reviews. 

The food here was really, really good I...",0
dogs-paw-brewing-elgin,Dog's Paw Brewing,https://www.yelp.com/biz/dogs-paw-brewing-elgin,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Sports Bars', alias='sportsbars')]",['74 S Grove Ave'],US,Elgin,IL,60120,44,True,"Had a great first time at urban chic Dogs Paw. Met up with some former coworkers and really enjoyed this special spot in Elgin. We all had burgers: Aussie,...",0
blue-box-cafe-elgin,Blue Box Cafe,https://www.yelp.com/biz/blue-box-cafe-elgin,4.5,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches')]",['176 E Chicago St'],US,Elgin,IL,60120,92,True,"I dislike coffee.

I for some reason find myself craving coffee from this place.  I can only assume they put sugar-crack in their coffee, but never in my...",0
culinary-fox-cafe-elgin,Culinary Fox Cafe,https://www.yelp.com/biz/culinary-fox-cafe-elgin,5.0,"[Category(name='Cafes', alias='cafes')]",['2090 Larkin Ave'],US,Elgin,IL,60123,16,False,I had the Cuban sandwich with potato wedges. They even garnished with fresh tomato and cucumber. I will be trying the chicken meatball Romano soup next...,0
la-casa-del-pollo-asado-elgin,La Casa del Pollo Asado,https://www.yelp.com/biz/la-casa-del-pollo-asado-elgin,4.0,"[Category(name='Mexican', alias='mexican')]",['221 National St'],US,Elgin,IL,60120,33,True,"Can you say best bang for your.... cluck?! HA I crack myself up... but seriously the grilled chicken family meal, as others have gushed, is such a good...",0
cafe-roma-elgin,Cafe Roma,https://www.yelp.com/biz/cafe-roma-elgin,4.5,"[Category(name='Italian', alias='italian'), Category(name='Pizza', alias='pizza')]",['2175 Point Blvd'],US,Elgin,IL,60123,49,True,"Love the food.
Hate the noise. My friends won't go back with me because of it, so I went alone for an early lunch and other than  a group at the bar, I was...",0
