business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
gwen-los-angeles,Gwen,https://www.yelp.com/biz/gwen-los-angeles,4.0,"[Category(name='American (New)', alias='newamerican')]",['6600 Sunset Blvd'],US,Los Angeles,CA,90028,94,False,Definitely one of our top meals ever What a great meal we had!   The restaurant is classy but not stuffy.   The interior is beautifully done and the glassed...,0
el-paseo-inn-los-angeles,El Paseo Inn,https://www.yelp.com/biz/el-paseo-inn-los-angeles,4.5,"[Category(name='Mexican', alias='mexican')]",['11 E Olvera St'],US,Los Angeles,CA,90012,1514,True,"After watching ""Expedition Unknown"" with Josh Gates we decided to tour Olvera Street in Los Angeles. For lunch we ate at El Paseo Inn. An authentic Mexican...",0
633-cafe-los-angeles,633 Cafe,https://www.yelp.com/biz/633-cafe-los-angeles,4.5,"[Category(name='Southern', alias='southern'), Category(name='Caribbean', alias='caribbean'), Category(name='American (New)', alias='newamerican')]",['633 South Spring St'],US,Los Angeles,CA,90014,47,False,SPECIAL is the initial thought that comes to mind when I think of this amazing pop-up!   I have gone twice in a span of one week (in spite of my clean...,0
birdies-los-angeles,Birdies,https://www.yelp.com/biz/birdies-los-angeles,4.0,"[Category(name='Chicken Shop', alias='chickenshop'), Category(name='Donuts', alias='donuts'), Category(name='Coffee & Tea', alias='coffee')]",['314 W Olympic Blvd'],US,Los Angeles,CA,90015,408,True,"The cashier was so polite, excellent customer service from the two gentlemen who were there last night. 


I ordered the original chicken sandwich. I can't...",0
sawyer-los-angeles,Sawyer,https://www.yelp.com/biz/sawyer-los-angeles,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Seafood', alias='seafood'), Category(name='Salad', alias='salad')]",['3709 W Sunset Blvd'],US,Los Angeles,CA,90026,202,True,"I've had some decent burgers over the past several weeks (The Morrison, Taix, Ox and Son) and one shitty one (Jay's Bar). Sawyer's was hands down, the best....",0
the-pokè-shack-los-angeles-4,The Pokè Shack,https://www.yelp.com/biz/the-pok%C3%A8-shack-los-angeles-4,4.5,"[Category(name='Hawaiian', alias='hawaiian'), Category(name='Sushi Bars', alias='sushi'), Category(name='Poke', alias='poke')]",['7257 Melrose Ave'],US,Los Angeles,CA,90046,428,True,"Great poki, everything was fresh, like 12 bucks for a large poki bowl which is way more than you can eat. Nice clean interior, patio outside, good jams,...",0
yup-dduk-la-los-angeles,Yup Dduk La,https://www.yelp.com/biz/yup-dduk-la-los-angeles,4.5,"[Category(name='Korean', alias='korean')]",['3603 W 6th St'],US,Los Angeles,CA,90020,895,True,"If hell was serving food, yup dduk bowls would be the main entree. VERY spicy (even for mild), but very tasty and delicious. They encourage and incentivize...",0
guss-world-famous-fried-chicken-los-angeles,Gus's World Famous Fried Chicken,https://www.yelp.com/biz/guss-world-famous-fried-chicken-los-angeles,4.0,"[Category(name='Southern', alias='southern'), Category(name='Chicken Shop', alias='chickenshop')]",['1262 Crenshaw Blvd'],US,Los Angeles,CA,90019,459,True,You know what is troublesome is that some of the reviewers here think this is Nashville Hot Chicken. THIS IS NOT. How can you be a Yelp elite and be...,0
71-above-los-angeles-2,71 Above,https://www.yelp.com/biz/71-above-los-angeles-2,3.5,"[Category(name='American (New)', alias='newamerican')]","['633 W 5th St', 'Fl 71']",US,Los Angeles,CA,90071,251,True,"For my birthday, my gf decided to take me here. Completely took me by surprise since I had no idea where we were going until we got there. 

Valet is $10...",0
the-morrison-los-angeles,The Morrison,https://www.yelp.com/biz/the-morrison-los-angeles,4.5,"[Category(name='Gastropubs', alias='gastropubs'), Category(name='Burgers', alias='burgers'), Category(name='Bars', alias='bars')]",['3179 Los Feliz Blvd'],US,Los Angeles,CA,90039,2622,True,"The Morrison has become one of my favorite spots for a delightful steak.  The atmosphere is great and fun loving. Tonight was game night, so it was packed!...",0
poke-2-go-los-angeles-2,Poke 2 Go,https://www.yelp.com/biz/poke-2-go-los-angeles-2,4.5,"[Category(name='Food Trucks', alias='foodtrucks'), Category(name='Hawaiian', alias='hawaiian'), Category(name='Poke', alias='poke')]",['110 E 9th St'],US,Los Angeles,CA,90079,63,True,"My family is from Hawaii and I go to Hawaii often, and I must say, this poke is spot on when it comes to flavor, freshness, and overall yummyness!!

I am...",0
howlin-rays-los-angeles-3,Howlin' Ray's,https://www.yelp.com/biz/howlin-rays-los-angeles-3,4.5,"[Category(name='Southern', alias='southern'), Category(name='Chicken Shop', alias='chickenshop'), Category(name='Chicken Wings', alias='chicken_wings')]","['727 N Broadway', 'Ste 128']",US,Los Angeles,CA,90012,790,True,"Great Nashville hot chicken! Be careful, though - with the multiple levels of heat, always go milder than you think. Even the non-spicy chicken was some of...",0
corn-man-los-angeles-3,Corn Man,https://www.yelp.com/biz/corn-man-los-angeles-3,4.5,"[Category(name='Food Stands', alias='foodstands')]",['2338 Workman St'],US,Los Angeles,CA,90031,434,False,"I can't believe he has been selling corn for 27+ years, he really has this market cornered.

I had a chance to talk to him for a bit, he's such a great...",0
bestia-los-angeles,Bestia,https://www.yelp.com/biz/bestia-los-angeles,4.5,"[Category(name='Italian', alias='italian'), Category(name='Salad', alias='salad'), Category(name='Cocktail Bars', alias='cocktailbars')]",['2121 E 7th Pl'],US,Los Angeles,CA,90021,3547,True,"I just wrote a review for another restaurant and saw Bestia came up.  A year ago, this guy I was dating invited me to a birthday party of a friend at...",0
brunchdtla-los-angeles,BrunchDTLA,https://www.yelp.com/biz/brunchdtla-los-angeles,5.0,"[Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Cafes', alias='cafes'), Category(name='Pasta Shops', alias='pastashops')]","['718 S Los Angeles St', 'Ste  A']",US,Los Angeles,CA,90014,47,True,Came here for for lunch on Saturday. The place is awesome. It's definitely not what we expected walking in the door. The best experience I've had at a...,0
the-chairman-los-angeles,The Chairman,https://www.yelp.com/biz/the-chairman-los-angeles,4.0,"[Category(name='Asian Fusion', alias='asianfusion')]",['1200 East 5th St'],US,Los Angeles,CA,90013,97,True,"I absolutely LOVE THIS PLACE! From its cozy cool interior, chalkboard menu and clean modern bathrooms, to the calm exterior oasis, this little bit of...",0
