business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
sid-golds-request-room-new-york,Sid Gold's Request Room,https://www.yelp.com/biz/sid-golds-request-room-new-york,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Desserts', alias='desserts'), Category(name='Pizza', alias='pizza')]",['165 W 26th St'],US,New York,NY,10001,50,False,"So much fun!  Great piano players. Our group thought we'd ""pop in"". Ended up staying for hours. 

How have I never come here before?  Will be back for sure!",0
gersi-brooklyn,Gersi,https://www.yelp.com/biz/gersi-brooklyn,4.5,"[Category(name='Italian', alias='italian'), Category(name='Wine Bars', alias='wine_bars')]",['316 Court St'],US,Brooklyn,NY,11231,69,True,"Everything from start to finish was amazing.

We started with the mozzarella di buffala and the mushroom toast- both tasty and seasoned well. We had the...",0
gristmill-brooklyn,Gristmill,https://www.yelp.com/biz/gristmill-brooklyn,4.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Bars', alias='bars')]",['289 5th Ave'],US,Brooklyn,NY,11215,53,True,"My friend, Celia, brought me to this place and my oh my was I blown away!

From the moment you walk in, to the second you walk out, the staff was absolultly...",0
o-donoghues-pub-new-york,O'Donoghues Pub,https://www.yelp.com/biz/o-donoghues-pub-new-york,3.5,"[Category(name='Pubs', alias='pubs'), Category(name='Soup', alias='soup'), Category(name='Venues & Event Spaces', alias='venues')]",['156 W 44th St'],US,New York,NY,10036,98,False,Came here with a friend because It was close to Times Square so it was the most convenient.! It also had a nice environment as well. Didn't try the food or...,0
holy-guacamole-queens,Holy Guacamole,https://www.yelp.com/biz/holy-guacamole-queens,4.0,"[Category(name='Mexican', alias='mexican')]",['35-55 31st St'],US,Queens,NY,11106,35,False,"Best guacamole ever !!!!!!
If you're looking for a good Mexican restaurant,  this is not it, this place is great and awesome, the staff in the kitchen have...",0
tipsy-shanghai-new-york,Tipsy Shanghai,https://www.yelp.com/biz/tipsy-shanghai-new-york,4.0,"[Category(name='Shanghainese', alias='shanghainese'), Category(name='Dim Sum', alias='dimsum'), Category(name='Soup', alias='soup')]","['103 Washington St', '2nd  Fl']",US,New York,NY,10006,194,True,"Really recommend!
The restaurant environment is cool and servers are nice'
We love all the dishes we ordered!",0
brooklyn-bazaar-brooklyn,Brooklyn Bazaar,https://www.yelp.com/biz/brooklyn-bazaar-brooklyn,3.5,"[Category(name='Music Venues', alias='musicvenues'), Category(name='Southern', alias='southern'), Category(name='Karaoke', alias='karaoke')]",['150 Greenpoint Ave'],US,Brooklyn,NY,11222,190,True,"NEW LOCATION REVIEW:
I'm not sure I feel about this place, but it leans on the side of optimistic. It's the ultimate fusion of old meets new, and I'm just...",0
hungry-brooklyn,Hungry?,https://www.yelp.com/biz/hungry-brooklyn,5.0,"[Category(name='Cajun/Creole', alias='cajun'), Category(name='Thai', alias='thai'), Category(name='American (Traditional)', alias='tradamerican')]","['77 Norman Ave', 'Store 1']",US,Brooklyn,NY,11222,23,True,"*My review will be based on a scale from 1 to 10 as 1 being the lowest and 10 being the highest in all these categories (food, service, atmosphere).*

Food:...",0
moms-kitchen-and-bar-astoria,Mom's Kitchen & Bar,https://www.yelp.com/biz/moms-kitchen-and-bar-astoria,4.0,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['30-95 33rd St'],US,Astoria,NY,11102,117,True,"We live down the street and have been to Mom's a handful of times since it opened. It's a good choice for a dinner with visiting family, date night with a...",0
the-alcove-sunnyside,The Alcove,https://www.yelp.com/biz/the-alcove-sunnyside,5.0,"[Category(name='Gastropubs', alias='gastropubs'), Category(name='Tapas Bars', alias='tapas')]",['41-11 49th Street'],US,Sunnyside,NY,11104,163,True,I love this place. I've been twice and have been so impressed with the service. Everyone who works here makes a point to introduce themselves by name and...,0
