business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
the-shop-agora-seattle-2,The Shop Agora,https://www.yelp.com/biz/the-shop-agora-seattle-2,4.5,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Grocery', alias='grocery'), Category(name='Mediterranean', alias='mediterranean')]",['346 15th Ave E'],US,Seattle,WA,98112,42,True,"The Shop Agora is Seattle's very best restaurant. 

Nikos' food and wine selection is a hidden gem - unbelievably more delicious than the approachable price...",0
copine-seattle,Copine,https://www.yelp.com/biz/copine-seattle,5.0,"[Category(name='American (New)', alias='newamerican')]",['6460 24th Ave NW'],US,Seattle,WA,98107,50,True,"It's a splurge, but definitely a positive experience. The food and plates were beautiful and colorful, it all tasted wonderful, and the service was great....",0
waterwheel-lounge-seattle,Waterwheel Lounge,https://www.yelp.com/biz/waterwheel-lounge-seattle,4.0,"[Category(name='Karaoke', alias='karaoke'), Category(name='Dive Bars', alias='divebars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['7034 15th Ave NW'],US,Seattle,WA,98117,136,True,"It is hard to impress me in life. I drive a Ferrari, own a 5,000 square foot home on the water, have a beautiful girlfriend, own the Matrix trilogy on Blu...",0
kizuki-ramen-and-izakaya-seattle-8,Kizuki Ramen & Izakaya,https://www.yelp.com/biz/kizuki-ramen-and-izakaya-seattle-8,4.0,"[Category(name='Ramen', alias='ramen'), Category(name='Izakaya', alias='izakaya'), Category(name='Noodles', alias='noodles')]",['4203 SW Alaska St'],US,Seattle,WA,98116,72,True,"The restaurant was beautiful. It combined Japanese style and Nordic style of interior decoration. After I got a table, I ordered firstly a cup of Edamame...",0
meet-the-moon-seattle,Meet the Moon,https://www.yelp.com/biz/meet-the-moon-seattle,4.5,"[Category(name='Desserts', alias='desserts'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Bars', alias='bars')]",['120 Lakeside Ave'],US,Seattle,WA,98122,114,True,"Huge fan. 

My partner and I came here on an incredibly busy Saturday morning and were able to get a seat almost immediately at the bar. Our bartender was...",0
ltd-bar-and-grill-seattle,LTD Bar & Grill,https://www.yelp.com/biz/ltd-bar-and-grill-seattle,3.5,"[Category(name='Sports Bars', alias='sportsbars'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Beer Gardens', alias='beergardens')]",['309 N 36th St'],US,Seattle,WA,98103,79,True,"New management, New beer taps, and a new menu! Still a great spot to watch a game or sit out on their patio and relax with a beer or cocktail. 

Plus they...",0
36-stone-seattle,36 Stone,https://www.yelp.com/biz/36-stone-seattle,4.5,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican'), Category(name='Sandwiches', alias='sandwiches')]",['3630 Stone Way N'],US,Seattle,WA,98103,20,False,"This is the cutest bar around!! Great place to watch sports, just hang out with a friend or grab a bite to eat!! Best drinks and the food was amazing!...",0
citizen-six-seattle,Citizen Six,https://www.yelp.com/biz/citizen-six-seattle,4.0,"[Category(name='Korean', alias='korean'), Category(name='Mexican', alias='mexican'), Category(name='Cocktail Bars', alias='cocktailbars')]","['945 Elliott Ave W', 'Ste 201']",US,Seattle,WA,98119,40,True,I am not necessarily one for ciders but Troy really changed my mind. He shared his love of brewing ciders using washington apples.  I have now added Citizen...,0
the-butchers-table-seattle,The Butcher's Table,https://www.yelp.com/biz/the-butchers-table-seattle,4.0,"[Category(name='Steakhouses', alias='steak'), Category(name='Meat Shops', alias='meats'), Category(name='Sandwiches', alias='sandwiches')]",['2121 Westlake Ave'],US,Seattle,WA,98121,79,True,"Trendy, swanky, great customer service, ambiance was easily 5 stars. There's no way you can miss this place as it is very clearly marked ""The Butcher's...",0
paseo-caribbean-food-fremont-seattle-2,Paseo Caribbean Food - Fremont,https://www.yelp.com/biz/paseo-caribbean-food-fremont-seattle-2,4.5,"[Category(name='Caribbean', alias='caribbean'), Category(name='Cuban', alias='cuban'), Category(name='Sandwiches', alias='sandwiches')]",['4225 Fremont Ave N'],US,Seattle,WA,98103,4514,True,"Happy Thanksgiving Paseo!!!! Your company showed love and how customer service is all about!! 

Yesterday after work my cousin and me met up to enjoy some...",0
a-hong-kong-kitchen-seattle,A + Hong Kong Kitchen,https://www.yelp.com/biz/a-hong-kong-kitchen-seattle,4.5,"[Category(name='Cantonese', alias='cantonese'), Category(name='Hong Kong Style Cafe', alias='hkcafe')]",['419 6th Ave S'],US,Seattle,WA,98104,90,True,"So so so good. Open late.

My favorite Canto dishes are the ones that have some British influence, but I enjoy some of the more traditional HK dishes as...",0
pike-place-chowder-seattle,Pike Place Chowder,https://www.yelp.com/biz/pike-place-chowder-seattle,4.5,"[Category(name='Seafood', alias='seafood'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Soup', alias='soup')]",['1530 Post Aly'],US,Seattle,WA,98101,4466,True,"Pike Place Chowder is a definite must if you are in Seattle. This place makes a really, really good chowder, probably the best I've had. The lines can be a...",0
the-100-pound-clam-seattle-2,The 100 Pound Clam,https://www.yelp.com/biz/the-100-pound-clam-seattle-2,4.0,"[Category(name='Seafood', alias='seafood'), Category(name='Bars', alias='bars'), Category(name='Sandwiches', alias='sandwiches')]",['1001 Fairview Ave N'],US,Seattle,WA,98109,44,True,"Location is amazing on a sunny day; great view of the water and seaplanes! We ordered a bunch of food:
- fried prawns and avocado: prawns were big and...",0
radiator-whiskey-seattle,Radiator Whiskey,https://www.yelp.com/biz/radiator-whiskey-seattle,4.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars')]","['94 Pike St', 'Ste 30']",US,Seattle,WA,98101,772,True,Customer service is everything and that's why this place gets 5 stars from me. I came in just before closing (as I seem to usually do) and I was greeted by...,0
dans-kitchen-seattle,Dan's Kitchen,https://www.yelp.com/biz/dans-kitchen-seattle,4.5,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Burgers', alias='burgers'), Category(name='Fish & Chips', alias='fishnchips')]",['6552 15th Ave NE'],US,Seattle,WA,98115,102,True,"Dan's Kitchen is what all burger joints should be like: personal service, big ol' tasty burgers, and community feel. 

the double bacon cheeseburger was...",0
joyale-seafood-restaurant-seattle-2,Joyale Seafood Restaurant,https://www.yelp.com/biz/joyale-seafood-restaurant-seattle-2,3.5,"[Category(name='Seafood', alias='seafood'), Category(name='Dim Sum', alias='dimsum'), Category(name='Cantonese', alias='cantonese')]",['900 S Jackson St'],US,Seattle,WA,98104,39,True,"Came here for the first stop of a UYE ""Bang Bang"", good choice to start off the day with some dim sum. I've actually never been to the Pacific Rim building...",0
toulouse-petit-seattle,Toulouse Petit,https://www.yelp.com/biz/toulouse-petit-seattle,4.0,"[Category(name='Cajun/Creole', alias='cajun'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Bars', alias='bars')]",['601 Queen Anne Ave N'],US,Seattle,WA,98109,2776,True,"This place is probably my favourite restaurant out there. The happy hour can't be beat, but you need to get there early as seating for happy hour is only in...",0
witness-seattle,Witness,https://www.yelp.com/biz/witness-seattle,4.5,"[Category(name='Southern', alias='southern'), Category(name='Cocktail Bars', alias='cocktailbars')]",['410 Broadway E'],US,Seattle,WA,98102,507,True,My favorite place in Seattle for chicken and waffles. It's a bit pricey ($18) for a plate but you can share with someone or take half home to enjoy the...,0
the-pink-door-seattle,The  Pink  Door,https://www.yelp.com/biz/the-pink-door-seattle,4.0,"[Category(name='Italian', alias='italian'), Category(name='Wine Bars', alias='wine_bars'), Category(name='Pasta Shops', alias='pastashops')]",['1919 Post Aly'],US,Seattle,WA,98101,2577,True,"Absolutely wonderful spot, and this place can be tough to get a table or seat at the bar.

I had 2 apps, and two wines that were all very delicious, and...",0
