business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
the-great-australian-bite-aurora-2,The Great Australian Bite,https://www.yelp.com/biz/the-great-australian-bite-aurora-2,5.0,"[Category(name='Australian', alias='australian')]","['6710 S Cornerstar Way', 'Unit B']",US,Aurora,CO,80016,57,True,"Love this place 
The closes thing to my  culture food 
Today had the chicken Curry pie  very tasty
The Meat and cheese is one of the  one I usually...",0
cafe-paprika-aurora,Cafe Paprika,https://www.yelp.com/biz/cafe-paprika-aurora,4.5,"[Category(name='Moroccan', alias='moroccan'), Category(name='Mediterranean', alias='mediterranean')]",['13160 E Mississippi Ave'],US,Aurora,CO,80012,271,True,"What a jewel.
Plan to return often!
Met with both owner and chef, great conversations about restaurant's history and families.
Decor amazing, an airbrushed...",0
pho-888-vietnamese-noodle-and-grill-aurora,Pho 888 Vietnamese Noodle & Grill,https://www.yelp.com/biz/pho-888-vietnamese-noodle-and-grill-aurora,4.5,"[Category(name='Vietnamese', alias='vietnamese'), Category(name='Noodles', alias='noodles')]",['539 N Sable Blvd'],US,Aurora,CO,80011,366,False,"My favorite broth in the area - not too sweet and not too salty. I am a regular here, especially in the winter. 

Service is fast and attentive (Water...",0
cuba-bakery-and-cafe-aurora,Cuba Bakery & Cafe,https://www.yelp.com/biz/cuba-bakery-and-cafe-aurora,4.0,"[Category(name='Cuban', alias='cuban'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Bakeries', alias='bakeries')]",['15028 E Mississippi Ave.'],US,Aurora,CO,80012,210,False,"I am a recent transplant and I was excited to see a Cuban bakery/restaurant to close to me!  I work on East Coast time, so I was equally excited to be able...",0
the-french-press-aurora,The French Press,https://www.yelp.com/biz/the-french-press-aurora,4.0,"[Category(name='Cafes', alias='cafes'), Category(name='Coffee & Tea', alias='coffee'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['15290 E Iliff Ave'],US,Aurora,CO,80014,588,True,"The food here was really good. We came on a Monday morning and it was pretty busy so I can imagine they are packed on the weekends. 

We came here for the...",0
tacos-selene-aurora-2,Tacos Selene,https://www.yelp.com/biz/tacos-selene-aurora-2,4.5,"[Category(name='Mexican', alias='mexican')]","['15343 E 6th Ave', 'Ste a']",US,Aurora,CO,80011,155,True,"I'm not a big taco person, but when I see a hole in the wall restaurant with a 4.5 start review, it piques my interest, so I had Tacos Selene bookmarked,...",0
fish-2-go-aurora-2,Fish 2 Go,https://www.yelp.com/biz/fish-2-go-aurora-2,5.0,"[Category(name='American (Traditional)', alias='tradamerican')]",['15462 E Hampden Avenue'],US,Aurora,CO,80013,18,False,"Came here a few weeks back based on reviews as I was visiting the Aurora, CO region for business. I've lived in the south and love me some catfish. I came...",0
thai-street-food-aurora,Thai Street Food,https://www.yelp.com/biz/thai-street-food-aurora,4.0,"[Category(name='Thai', alias='thai')]",['11650 Montview Blvd'],US,Aurora,CO,80010,222,False,"The best Thai in Denver! 

I moved here from the Pacific Northwest where the Thai food is superb and bountiful. For the past few years I have searched and...",0
nom-nom-asian-grill-aurora,Nom Nom Asian Grill,https://www.yelp.com/biz/nom-nom-asian-grill-aurora,4.5,"[Category(name='Vietnamese', alias='vietnamese')]","['13700 E Colfax Ave', 'Suite I']",US,Aurora,CO,80011,48,True,"Fresh Vietnamese food!  Very fast and friendly service.    Was able to sample all the meat.  Staff recommendations were amazing.  

Tips:
Garlic soy steak...",0
golden-saigon-aurora,Golden Saigon,https://www.yelp.com/biz/golden-saigon-aurora,4.5,"[Category(name='Vietnamese', alias='vietnamese')]",['2648 S Parker Rd'],US,Aurora,CO,80014,291,False,"Having grown up in Golden, finding my adult self living on the Aurora edge of Denver has been emotionally difficult. You know those mountains that Colorado...",0
coloradough-pizza-aurora,Coloradough Pizza,https://www.yelp.com/biz/coloradough-pizza-aurora,4.5,"[Category(name='Pizza', alias='pizza')]",['15430 E Smoky Hill Rd'],US,Aurora,CO,80015,103,True,Updating for Coloradough Pizza place. Consistent Products: Pizza is always hot & tasty & delivery charge is nominal. Still very happy with this place....,0
tacos-la-morenita-aurora,Tacos La Morenita,https://www.yelp.com/biz/tacos-la-morenita-aurora,4.5,"[Category(name='Mexican', alias='mexican')]",['15493 E Hampden Ave'],US,Aurora,CO,80013,118,False,Came here during a business trip based on the reviews. All I had was the pork and pineapple tacos that were a solid choice. Place was run by two ladies who...,0
