business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
minghin-cuisine-chicago-7,MingHin Cuisine,https://www.yelp.com/biz/minghin-cuisine-chicago-7,4.0,"[Category(name='Dim Sum', alias='dimsum'), Category(name='Cantonese', alias='cantonese'), Category(name='Asian Fusion', alias='asianfusion')]","['333 E Benton Pl', 'Ste 300']",US,Chicago,IL,60601,226,True,"It was my first brunch meal in Chicago and I went to MingHin on Saturday, October 1st around 11 am. Coming from Atlanta, dim sum joints are pretty popular...",0
chop-suey-city-chicago-4,Chop Suey City,https://www.yelp.com/biz/chop-suey-city-chicago-4,4.5,"[Category(name='Chinese', alias='chinese')]",['3825 S Archer Ave'],US,Chicago,IL,60632,36,True,When my go-to Chinese restaurant closed I searched in vain for a good take out place near McKinley Park until I found Chop Suey City and have been going...,0
minghin-cuisine-chicago-3,MingHin Cuisine,https://www.yelp.com/biz/minghin-cuisine-chicago-3,4.0,"[Category(name='Seafood', alias='seafood'), Category(name='Dim Sum', alias='dimsum'), Category(name='Cantonese', alias='cantonese')]",['2168 S Archer Ave'],US,Chicago,IL,60616,1434,True,"We came in on a Sunday morning, total of 7 adults and 1 baby, luckily we made reservations in advance because even at 10:30 in the morning, the place was...",0
qing-xiang-yuan-dumpling-chicago,Qing Xiang Yuan Dumpling,https://www.yelp.com/biz/qing-xiang-yuan-dumpling-chicago,4.0,"[Category(name='Chinese', alias='chinese')]","['2002 S Wentworth Ave', 'Ste 103']",US,Chicago,IL,60616,222,True,"this resturant is my number one choice in China town. services are great, the place is celan and nice, the food, oh my god, so delicious. I would definitely...",0
chi-cafe-chicago,Chi Cafe,https://www.yelp.com/biz/chi-cafe-chicago,4.0,"[Category(name='Chinese', alias='chinese'), Category(name='Cafes', alias='cafes'), Category(name='Soup', alias='soup')]","['2160 S Archer Ave', 'Ste A']",US,Chicago,IL,60616,804,True,Salt and Pepper Seafood. Simple. Fire. Incredible. My friends and I shared this dish along with the hand-shredded chicken and a bok choy dish - family style...,0
home-style-taste-chinese-chicago,Home Style Taste Chinese,https://www.yelp.com/biz/home-style-taste-chinese-chicago,4.0,"[Category(name='Chinese', alias='chinese')]",['3205 S Halsted St'],US,Chicago,IL,60608,110,False,"Absolutely a gem of a restaurant.  No frills here, just darn good food folks!

The food is absolutely authentic and everything we ordered was definitely...",0
chengdu-impression-chicago,Chengdu Impression,https://www.yelp.com/biz/chengdu-impression-chicago,4.0,"[Category(name='Szechuan', alias='szechuan')]",['2545 N Halsted St'],US,Chicago,IL,60614,221,True,This is some of the tastiest Szechuan food I've had in awhile in Chicago. Lao Szechuan has gone done hill so I am happy we have a new place to get our spicy...,0
chengs-chopsticks-chicago-2,Cheng's Chopsticks,https://www.yelp.com/biz/chengs-chopsticks-chicago-2,4.0,"[Category(name='Chinese', alias='chinese')]",['3054 W Armitage Ave'],US,Chicago,IL,60647,94,False,"5 stars for being excellent at basic Chinese takeout. 

Ordered fried rice with BBQ pork and vegetable egg foo young. Fried rice was tasty and the...",0
yummy-yummy-asian-cuisine-chicago,Yummy Yummy Asian Cuisine,https://www.yelp.com/biz/yummy-yummy-asian-cuisine-chicago,4.0,"[Category(name='Chinese', alias='chinese'), Category(name='Juice Bars & Smoothies', alias='juicebars'), Category(name='Vegetarian', alias='vegetarian')]",['2901 N Broadway St'],US,Chicago,IL,60657,474,True,"I love Yummy Yummy! It's a great little spot in Lakeview East. I've never eaten in the restaurant, but I get take-out from this place fairly often. The...",0
go-4-food-chicago,Go 4 Food,https://www.yelp.com/biz/go-4-food-chicago,4.0,"[Category(name='Chinese', alias='chinese'), Category(name='Seafood', alias='seafood'), Category(name='Asian Fusion', alias='asianfusion')]",['212 W 23rd St'],US,Chicago,IL,60616,536,True,"I do find myself going 4 food on a very normal basis, so it seemed fitting that my journey across Chicago's Chinatown leads me to a very delicious...",0
lao-sze-chuan-chicago-5,Lao Sze Chuan,https://www.yelp.com/biz/lao-sze-chuan-chicago-5,3.5,"[Category(name='Szechuan', alias='szechuan')]","['520 N Michigan Ave', 'Ste 420']",US,Chicago,IL,60611,463,True,"We used a delivery service so this review is for just the food and not in-restaurant service.
We had the dry chili chicken, orange beef tenderloin and...",0
duck-duck-goat-chicago,Duck Duck Goat,https://www.yelp.com/biz/duck-duck-goat-chicago,4.0,"[Category(name='Chinese', alias='chinese')]",['857 W Fulton Market'],US,Chicago,IL,60607,391,True,"very tasty, really liked the forbidden goat and the goat of the day. as a native Chinese, I have always liked black rice, that's why i really liked the...",0
mos-asian-bistro-chicago,Mo's Asian Bistro,https://www.yelp.com/biz/mos-asian-bistro-chicago,4.0,"[Category(name='Chinese', alias='chinese'), Category(name='Sushi Bars', alias='sushi')]",['1353 W Fullerton Ave'],US,Chicago,IL,60614,66,True,"Not only Chinese approved but Cantonese approved by me!

This place is super legit and better than many places in Chinatown, let alone other Chinese...",0
emperors-choice-restaurant-chicago,Emperor's Choice Restaurant,https://www.yelp.com/biz/emperors-choice-restaurant-chicago,4.0,"[Category(name='Chinese', alias='chinese')]",['2238 S Wentworth Ave'],US,Chicago,IL,60616,171,True,"The salt and pepper tofu was quite tasty. There is no sauce, so be prepared. This does not take away from the flavor, however. It seems like salt and pepper...",0
mak-restaurant-chicago,MAK Restaurant,https://www.yelp.com/biz/mak-restaurant-chicago,4.0,"[Category(name='Asian Fusion', alias='asianfusion'), Category(name='Chinese', alias='chinese')]",['1924 W Division St'],US,Chicago,IL,60622,184,True,"Did they invent the chork? If so it's a million dollar idea in and of itself! The restaurant is actually really good though too. 

It's fairly healthy, fast...",0
