business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
fado-irish-pub-and-restaurant-chicago-2,Fado Irish Pub & Restaurant,https://www.yelp.com/biz/fado-irish-pub-and-restaurant-chicago-2,4.0,"[Category(name='Irish', alias='irish'), Category(name='Irish Pub', alias='irish_pubs')]",['100 W Grand Ave'],US,Chicago,IL,60610,532,True,"Fado Irish Pub Chicago...Many choices to choose from in Chicago, but this is the BEST Irish Pub around.

Almost a second home for this Irishman! For years,...",0
emmits-irish-pub-chicago,Emmit's Irish Pub,https://www.yelp.com/biz/emmits-irish-pub-chicago,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='Irish', alias='irish')]",['495 N Milwaukee Ave'],US,Chicago,IL,60654,147,False,"We visited Emmit's Irish Pub for dinner on a Friday, it's been on my list b/c of its storied past and present, and had a very enjoyable time.

Décor: It's a...",0
chief-o-neills-pub-and-restaurant-chicago-2,Chief O'Neill's Pub & Restaurant,https://www.yelp.com/biz/chief-o-neills-pub-and-restaurant-chicago-2,4.0,"[Category(name='Irish', alias='irish'), Category(name='Pubs', alias='pubs'), Category(name='American (New)', alias='newamerican')]",['3471 N Elston Ave'],US,Chicago,IL,60618,429,True,"I'm a regular of this place and love it.  Hadn't been there since May, so last night me and a few friends went out there.

The place keeps getting better....",0
o-callaghans-chicago-2,O'Callaghan's,https://www.yelp.com/biz/o-callaghans-chicago-2,3.5,"[Category(name='Pubs', alias='pubs'), Category(name='Irish', alias='irish')]",['29 W Hubbard St'],US,Chicago,IL,60654,146,True,"Absolutely my favorite Irish pub in Chicago. Friendly staff, great bar, wonderful food.",0
the-kerryman-chicago,The Kerryman,https://www.yelp.com/biz/the-kerryman-chicago,3.5,"[Category(name='Irish', alias='irish'), Category(name='Pubs', alias='pubs'), Category(name='American (Traditional)', alias='tradamerican')]",['661 N Clark St'],US,Chicago,IL,60654,365,True,"I've walked by here so many times and have wanted to pop in, so finally made the opportunity for a nightcap. It also happened to be the night the Dodgers...",0
paddy-o-fegans-chicago,Paddy O'Fegan's,https://www.yelp.com/biz/paddy-o-fegans-chicago,3.5,"[Category(name='Irish', alias='irish'), Category(name='Pubs', alias='pubs'), Category(name='Sports Bars', alias='sportsbars')]",['204 N Halsted St'],US,Chicago,IL,60661,112,True,Last nite paddys held a Blackhawks event. It was wonderful! The owners Patrick and Cathy ensure that all customers are taken care of. And bartenders Colleen...,0
mrs-murphy-and-sons-irish-bistro-chicago,Mrs. Murphy & Sons Irish Bistro,https://www.yelp.com/biz/mrs-murphy-and-sons-irish-bistro-chicago,4.0,"[Category(name='Irish', alias='irish'), Category(name='Pubs', alias='pubs')]",['3905 N Lincoln Ave'],US,Chicago,IL,60613,368,True,"Let me start by complimenting our server, Katie - what a gem! Her awesome care for our dining experience definitely boosted our wonderful late lunch/early...",0
d4-irish-pub-and-cafe-chicago,D4 Irish Pub & Cafe,https://www.yelp.com/biz/d4-irish-pub-and-cafe-chicago,3.5,"[Category(name='Irish', alias='irish'), Category(name='Irish Pub', alias='irish_pubs'), Category(name='Desserts', alias='desserts')]",['345 E Ohio St'],US,Chicago,IL,60611,594,True,"Had an absolutely superb experience here. 

I chaperoned a moderately sized group on a weekday afternoon for lunch. Everything was executed perfectly and...",0
johnny-o-hagans-chicago,Johnny O'Hagan's,https://www.yelp.com/biz/johnny-o-hagans-chicago,4.5,"[Category(name='Irish', alias='irish'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Irish Pub', alias='irish_pubs')]",['3374 N Clark St'],US,Chicago,IL,60657,57,True,"I have been here several times for different reasons, and every time I have been treated well, despite my obvious intoxication. The food is really good, the...",0
o-shaughnessys-public-house-chicago,O'Shaughnessy's Public House,https://www.yelp.com/biz/o-shaughnessys-public-house-chicago,3.5,"[Category(name='Pubs', alias='pubs'), Category(name='Irish', alias='irish'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['4557 N Ravenswood Ave'],US,Chicago,IL,60640,308,True,"My friend and I had a very pleasant dinner on a recent warm Friday evening.

We were able to enjoy the outdoor seating area, which was recommended by my...",0
