business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
pastoral-chicago-2,Pastoral,https://www.yelp.com/biz/pastoral-chicago-2,4.0,"[Category(name='Cheese Shops', alias='cheese'), Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches')]",['53 E Lake St'],US,Chicago,IL,60601,577,True,"Well that was hands-down the best sandwich I've had in a long time!!! 

It was called Cali- Chevre... an odd combination of celery, onions goat cheese...",0
andorkas-sandwich-shop-chicago,Andorka's Sandwich Shop,https://www.yelp.com/biz/andorkas-sandwich-shop-chicago,4.5,"[Category(name='Sandwiches', alias='sandwiches')]",['2110 S Halsted St'],US,Chicago,IL,60608,46,True,"For me to give a lunch / sandwich place Five Stars is not only unusual, it's (to me) an oxymoron. Lunch can't particularly a sandwich cannot be that good -...",0
j-p-graziano-grocery-co-chicago,J.P. Graziano Grocery Co.,https://www.yelp.com/biz/j-p-graziano-grocery-co-chicago,4.5,"[Category(name='Grocery', alias='grocery'), Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches')]",['901 W Randolph St'],US,Chicago,IL,60607,381,True,"this is my favorite italian sammie place.  i have been to most of them & i have good reasons.

-family owned for generations-3 of the ladies working it now....",0
bari-chicago,Bari,https://www.yelp.com/biz/bari-chicago,4.5,"[Category(name='Grocery', alias='grocery'), Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches')]",['1120 W Grand Ave'],US,Chicago,IL,60642,669,True,"Came back to Bari today, two years after my first visit.  While it had been too long, it was great to walk to the back and order a 9"" meatball sub this...",0
humboldt-haus-sandwich-bar-chicago-2,Humboldt Haus Sandwich Bar,https://www.yelp.com/biz/humboldt-haus-sandwich-bar-chicago-2,4.5,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Pubs', alias='pubs')]",['2958 W North Ave'],US,Chicago,IL,60647,67,True,Not since the Brown Sack closed in Logan (moment of silence) have I so quickly taken to a sandwich shop. All of the meat and veggies taste super fresh and...,0
new-york-delicatessen-chicago-2,New York Delicatessen,https://www.yelp.com/biz/new-york-delicatessen-chicago-2,4.5,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches')]",['2921 N Clark St'],US,Chicago,IL,60657,268,True,"My new favorite sandwich place in Chicago!  I went in with a couple of friends on a Sunday around 1:00pm.  Lucky for us, the place wasn't busy because there...",0
conte-di-savoia-chicago,Conte Di Savoia European Specialties,https://www.yelp.com/biz/conte-di-savoia-chicago,4.5,"[Category(name='Delis', alias='delis'), Category(name='Italian', alias='italian'), Category(name='Sandwiches', alias='sandwiches')]",['1438 W Taylor St'],US,Chicago,IL,60607,185,True,Best Subs anywhere PERIOD.  My only complaint is that it's so good and only in the city so many in the suburbs will never know what a real sub sandwich...,0
lotus-cafe-and-bánh-mì-sandwiches-chicago,Lotus Cafe & Bánh Mì Sandwiches,https://www.yelp.com/biz/lotus-cafe-and-b%C3%A1nh-m%C3%AC-sandwiches-chicago,4.5,"[Category(name='Vietnamese', alias='vietnamese'), Category(name='Sandwiches', alias='sandwiches')]",['719 W Maxwell St'],US,Chicago,IL,60607,324,True,Love that they have veggie and vegan options! I'm from Minnesota and wish this could be a thing there. As a vegetarian it gets hard when the banh mì crave...,0
moons-sandwich-shop-chicago,Moon's Sandwich Shop,https://www.yelp.com/biz/moons-sandwich-shop-chicago,4.0,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['16 S Western Ave'],US,Chicago,IL,60612,100,True,"I don't want you to know about this place, so I'm going to lie through my teeth and tell you it sucks.  :o)  

You don't believe me?  Okay.  I wouldn't...",0
kathy-des-deli-chicago,Kathy De's Deli,https://www.yelp.com/biz/kathy-des-deli-chicago,4.5,"[Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches')]",['3642 S Parnell Ave'],US,Chicago,IL,60609,59,True,"I had a great Italian sub yesterday.  

So my story goes like this.  I stopped by Graziano's for my usual favorite sub at noon.  Huge line out the door....",0
