business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
tin-roof-joliet,Tin Roof,https://www.yelp.com/biz/tin-roof-joliet,4.0,"[Category(name='American (New)', alias='newamerican')]",['158 N Chicago St'],US,Joliet,IL,60432,168,True,Well damn... That's all I can say! Husband and I had a few things to do in Joliet so we stopped into Tin Roof. I've been wanting to go here for quite awhile...,0
hamburgerseria-joliet,Hamburgerseria,https://www.yelp.com/biz/hamburgerseria-joliet,4.5,"[Category(name='Fast Food', alias='hotdogs'), Category(name='Burgers', alias='burgers')]",['1015 Essington Rd'],US,Joliet,IL,60435,196,True,"Au Cheval Chicago, take a seat. This is home to the BEST burgers in the State of Illinois!! This critique, in all fairness, however, from a...",0
taquerias-atotonilco-joliet,Taquerias Atotonilco,https://www.yelp.com/biz/taquerias-atotonilco-joliet,4.5,"[Category(name='Mexican', alias='mexican')]",['500 E Cass St'],US,Joliet,IL,60432,76,True,"Very good food. The Al Pastor and steak tacos are very good. Quality meats. I also highly recommend the breaded steak torta, wow! You won't be disappointed....",0
louisiana-barbeque-joliet,Louisiana Barbeque,https://www.yelp.com/biz/louisiana-barbeque-joliet,5.0,"[Category(name='Caterers', alias='catering'), Category(name='Barbeque', alias='bbq')]",['1220 Richards St Ste C'],US,Joliet,IL,60433,12,False,"The best smoked brisket around! It was smoked to perfection. Tender and delicious and comparable to ""Down South"" Bbq. Happy to have this place in the suburbs.",0
chicago-street-pub-joliet-2,Chicago Street Pub,https://www.yelp.com/biz/chicago-street-pub-joliet-2,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='Irish', alias='irish')]",['75 N Chicago St'],US,Joliet,IL,60432,77,False,"This place has an extensive menu, full of upscale pub-grub options. I had the Italian Beef, which was excellent, but everyone in my party enjoyed their beer...",0
locos-mexican-restaurant-joliet,Loco's Mexican Restaurant,https://www.yelp.com/biz/locos-mexican-restaurant-joliet,4.5,"[Category(name='Mexican', alias='mexican')]",['1121 Essington Rd'],US,Joliet,IL,60435,119,True,This place is exquisite! Definitely the best restaurant in Joliet for mexican food. Servers were all so friendly and the owner was very kind as well!...,0
hot-pan-noodles-and-dumplings-joliet,Hot Pan Noodles & Dumplings,https://www.yelp.com/biz/hot-pan-noodles-and-dumplings-joliet,4.0,"[Category(name='Chinese', alias='chinese'), Category(name='Noodles', alias='noodles')]",['2302 Essington Rd'],US,Joliet,IL,60435,157,True,Delish! Very friendly and great food. One of my neighborhood faves. I recommend the pork dumplings and Dan Dan noodles.,0
chicken-n-spice-joliet,Chicken-N-Spice,https://www.yelp.com/biz/chicken-n-spice-joliet,4.0,"[Category(name='Fast Food', alias='hotdogs'), Category(name='Chicken Wings', alias='chicken_wings')]",['251 N Chicago St'],US,Joliet,IL,60432,150,True,"Really good food with a niche product. The spicy chicken chunks were quite tasty, but make sure to also get their hot sauce on the side.

Surprisingly the...",0
juliets-tavern-joliet,Juliet's Tavern,https://www.yelp.com/biz/juliets-tavern-joliet,4.0,"[Category(name='Italian', alias='italian'), Category(name='Sports Bars', alias='sportsbars')]",['205 N Chicago St'],US,Joliet,IL,60432,74,True,Pretty impressive for a first time visit. We were greeted by a polite hostess and seated right away. The atmosphere was very relaxed with still a higher...,0
anthonys-restaurant-and-pub-joliet,Anthony's Restaurant & Pub,https://www.yelp.com/biz/anthonys-restaurant-and-pub-joliet,3.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Pubs', alias='pubs')]",['3151 Voyager Ln'],US,Joliet,IL,60431,83,True,"Great Food, Great Service & Place is huge and clean! My husband and I have gone here a couple of times & each time the Food and the service have been Great!...",0
venezuelan-bowl-joliet,Venezuelan Bowl,https://www.yelp.com/biz/venezuelan-bowl-joliet,4.0,"[Category(name='Venezuelan', alias='venezuelan')]","['81 N Chicago Ave', 'Ste 104']",US,Joliet,IL,60432,26,True,Excellente¡¡¡¡ Genuinely ethnic magnificence with decent prices. Plantains delicious not greasy. Try the corn breaded mozzarella balls - yum. Steak bowls...,0
johnnys-beef-and-gyros-joliet,Johnny's Beef & Gyros,https://www.yelp.com/biz/johnnys-beef-and-gyros-joliet,4.0,"[Category(name='Burgers', alias='burgers'), Category(name='Fast Food', alias='hotdogs'), Category(name='Greek', alias='greek')]",['3567 W Jefferson St'],US,Joliet,IL,60431,67,True,"I love trying out local, not big chain, resteraunts.  This is one of my favorites. The Big Daddy Burger is amazing. Place is always clean and staff is...",0
metro-grill-and-bar-joliet,Metro Grill and Bar,https://www.yelp.com/biz/metro-grill-and-bar-joliet,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Bars', alias='bars')]",['2019 Essington Rd'],US,Joliet,IL,60435,87,True,"This place is one of mine and my husband's favorite local casual dinner places. The servers are always friendly and on top of everything, and the food is...",0
the-joliet-route-66-diner-joliet,The Joliet Route 66 Diner,https://www.yelp.com/biz/the-joliet-route-66-diner-joliet,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['22 W Clinton St'],US,Joliet,IL,60432,33,True,This place was awesome! Very attentive service and the breakfast was delicious! Also probably the best coffee I ever had. Only problem is that now I feel...,0
mooyah-burgers-fries-and-shakes-joliet,"MOOYAH Burgers, Fries & Shakes",https://www.yelp.com/biz/mooyah-burgers-fries-and-shakes-joliet,3.5,"[Category(name='Burgers', alias='burgers')]",['2611 W Jefferson St'],US,Joliet,IL,60435,38,True,Hamburger is great . And bread is baked fresh. Clean . Friendly service. Free  refills on pop,0
