business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
fire-it-up-naperville,Fire It Up,https://www.yelp.com/biz/fire-it-up-naperville,4.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Mexican', alias='mexican')]","['1523 N Aurora Rd', 'Ste 107']",US,Naperville,IL,60563,376,True,"Touch pricy; worth it. Service is great, relaxed, friendly. Moved location to wider space in area that needed a boost.

Every taco is tasty and tastefully...",0
sanguche-naperville,SanguChe,https://www.yelp.com/biz/sanguche-naperville,4.5,"[Category(name='Peruvian', alias='peruvian'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Diners', alias='diners')]","['535 Fairway Dr', 'Ste 115']",US,Naperville,IL,60563,181,False,"The Chicarron is legit, like one of the tastiest sandwiches (definitely top 3) I've had, awesome.  The fried rice was very good as well.  Kids had the ""hot...",0
old-town-pour-house-naperville,Old Town Pour House,https://www.yelp.com/biz/old-town-pour-house-naperville,3.5,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Beer Bar', alias='beerbar'), Category(name='Gluten-Free', alias='gluten_free')]",['1703 Freedom Dr'],US,Naperville,IL,60563,40,True,This place is much bigger than the one in Oakbroak. Menu is a little bit different too. They dont have Hercules which is my husband's favorite and the only...,0
francos-naperville-3,Franco's,https://www.yelp.com/biz/francos-naperville-3,4.5,"[Category(name='Hot Dogs', alias='hotdog'), Category(name='Italian', alias='italian'), Category(name='Sandwiches', alias='sandwiches')]",['821 E Chicago Ave'],US,Naperville,IL,60540,33,True,"I like Franco's so well that I might pitch a tent in the front yard and take up residence.  Just think......Egg Plant Parmesan for breakfast, Italian beef...",0
natures-best-cafe-naperville,Nature's Best Cafe,https://www.yelp.com/biz/natures-best-cafe-naperville,5.0,"[Category(name='Pizza', alias='pizza'), Category(name='Juice Bars & Smoothies', alias='juicebars'), Category(name='Gluten-Free', alias='gluten_free')]","['1904 Brookdale Rd', 'Ste 104']",US,Naperville,IL,60563,29,True,Thank you for the wonderful food you served in our Resident Event today. You were a big hit but we already knew this. You are all awesome.  We will...,0
pho-thien-vietnamese-kitchen-naperville-2,Pho Thien Vietnamese Kitchen,https://www.yelp.com/biz/pho-thien-vietnamese-kitchen-naperville-2,4.5,"[Category(name='Vietnamese', alias='vietnamese')]","['931 W 75th St', 'Ste  177']",US,Naperville,IL,60565,67,True,My husband and I definitely agree that this place serves one of the best pho we both have had in a long time around the Chicago area.  The broth is the most...,0
kogii-kogii-express-naperville,Kogii Kogii Express,https://www.yelp.com/biz/kogii-kogii-express-naperville,4.0,"[Category(name='Chicken Wings', alias='chicken_wings'), Category(name='Korean', alias='korean'), Category(name='Barbeque', alias='bbq')]","['1763 Freedom Dr', 'Ste 101']",US,Naperville,IL,60563,41,True,"Been a while since my first visit to Kogii Kogii, and my bf and I decided to make a return trip, after some earnest contacts from the manager after the last...",0
the-white-chocolate-grill-naperville,The White Chocolate Grill,https://www.yelp.com/biz/the-white-chocolate-grill-naperville,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Steakhouses', alias='steak')]",['1803 Freedom Dr'],US,Naperville,IL,60563,651,True,"Management reached out to me after seeing my review posted and showcases great customer service. For future first time diners like me, there is ""bread upon...",0
naf-naf-grill-naperville-2,Naf Naf Grill,https://www.yelp.com/biz/naf-naf-grill-naperville-2,4.5,"[Category(name='Middle Eastern', alias='mideastern')]","['1739 Freedom Dr', 'Ste 109']",US,Naperville,IL,60563,678,True,"I am going to give Naf Naf 5 stars just based on the big fluffy pillowy pitas! They are amazing :)

Everything we've tried has been great, and it's a hit...",0
delirio-naperville-3,DELIRIO,https://www.yelp.com/biz/delirio-naperville-3,4.0,"[Category(name='Latin American', alias='latin'), Category(name='Burgers', alias='burgers'), Category(name='Mexican', alias='mexican')]",['5 W Jackson Ave'],US,Naperville,IL,60540,42,True,"ALERT::::: NEW BURGER SPOT IN NAPERVILLE. 

OMG

Okay so we came in for a casual meal on my hubbys bday... It was a Tuesday and apparently Tuesday is burger...",0
