business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
sabroso-burrito-schaumburg,Sabroso Burrito,https://www.yelp.com/biz/sabroso-burrito-schaumburg,4.0,"[Category(name='Mexican', alias='mexican')]",['704 E. Higgins Road'],US,Schaumburg,IL,60173,46,True,"Sabroso translates to delicious in English and Sabroso Burrito whips up some very delicious eats.

I haven't been to the restaurant to see the interior, but...",0
the-hideout-schaumburg,The Hideout,https://www.yelp.com/biz/the-hideout-schaumburg,4.5,"[Category(name='Bars', alias='bars'), Category(name='Karaoke', alias='karaoke'), Category(name='American (Traditional)', alias='tradamerican')]",['1230 Valley Lake Dr'],US,Schaumburg,IL,60195,17,True,"We had a great time at The Hideout! Super friendly staff and regulars, reasonably priced drinks, and a casual/fun atmosphere. Also, AMAZING karaoke...",0
brazil-express-churrasco-grill-schaumburg,Brazil Express Churrasco Grill,https://www.yelp.com/biz/brazil-express-churrasco-grill-schaumburg,4.5,"[Category(name='Brazilian', alias='brazilian'), Category(name='Steakhouses', alias='steak'), Category(name='Buffets', alias='buffets')]",['1045 S Roselle Rd'],US,Schaumburg,IL,60193,332,True,"Steak, steak, bacon wrapped chicken, salad bar, grilled pineapple, CAIPIRINHA'S! Yes, this place is fantastic! Steak was tender and delicious, the cuts were...",0
bacowka-schaumburg-3,Bacowka,https://www.yelp.com/biz/bacowka-schaumburg-3,4.5,"[Category(name='Polish', alias='polish')]",['1120 S Roselle Rd'],US,Schaumburg,IL,60193,84,True,"Took my dad here for lunch as a Father's Day present. He had such a taste for his boyhood favorite, stuffed cabbage (GOŁĄBKI). Large portions and he ate...",0
seasons-52-schaumburg,Seasons 52,https://www.yelp.com/biz/seasons-52-schaumburg,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Wine Bars', alias='wine_bars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['1770 E Higgins Rd'],US,Schaumburg,IL,60173,634,True,"Visited this establishment tonight ... here's the short story.

Great food.
Amazing Service.
Prices as expected for the level or service and quality of...",0
wildfire-schaumburg,Wildfire,https://www.yelp.com/biz/wildfire-schaumburg,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Steakhouses', alias='steak'), Category(name='Bars', alias='bars')]",['1250 E Higgins Rd'],US,Schaumburg,IL,60173,485,True,This is a good restaurant for lunch or dinner in the area of many to chose from.  The seafood is top notch and the steak diners also enjoyed their meal....,0
92-town-korean-bbq-schaumburg-2,92 Town Korean BBQ,https://www.yelp.com/biz/92-town-korean-bbq-schaumburg-2,4.0,"[Category(name='Korean', alias='korean')]",['243 W Golf Rd'],US,Schaumburg,IL,60195,177,True,"Korean BBQ's are fun!  It's great for 2 people or a large group.  When I came here to have dinner with 10 other people, we had a great time.  The service...",0
bonefish-grill-schaumburg,Bonefish Grill,https://www.yelp.com/biz/bonefish-grill-schaumburg,4.0,"[Category(name='Seafood', alias='seafood')]",['180 S Roselle Rd'],US,Schaumburg,IL,60193,269,True,Disclaimer first: I'm a pretty picky eater. I'm a nondairy pescetarian which means except for eating fish I'm basically vegan. I'm also really health...,0
zeal-restaurant-schaumburg,Zeal Restaurant,https://www.yelp.com/biz/zeal-restaurant-schaumburg,4.0,"[Category(name='Italian', alias='italian'), Category(name='American (New)', alias='newamerican'), Category(name='Steakhouses', alias='steak')]",['680 Mall Dr'],US,Schaumburg,IL,60173,236,True,"I am very surprised at how much I enjoyed this restaurant. It has been in the area for years, but for some reason this was a first time visit for me. The...",0
toasty-cheese-schaumburg,Toasty Cheese,https://www.yelp.com/biz/toasty-cheese-schaumburg,4.0,"[Category(name='Food Trucks', alias='foodtrucks'), Category(name='Sandwiches', alias='sandwiches')]",['951 W Wise Rd'],US,Schaumburg,IL,60193,290,True,mighty max or..if you desire a spicy bite..the ragin' regen. they build sandwiches like it is written on the food truck.  this is what american grilled...,0
