business_id,username,user_id,review_id,review_text,star_rating,calculated_senti_rating,total_senences,very_posivite_counts,posivite_counts,neutral_counts,very_negative_counts,negative_counts,nlp_sentences
pinstripes-chicago-2,Stephanie L.,aRdO2gkzbDDyun1JUyuT4Q,OY121UUBaRZTQz6csd_4Xw,"I have been to Pinstripes a handful of times but this time was for my wedding. We rented their whole basement venue and I have nothing but wonderful things to say about every staff person at Pinstripes. From the servers, to the chefs, to our amazing coordinator Laura Trahey, the whole team is top notch in my book. 
If looking for a wedding venue, Pinstripes may not be the first place you think of, but it should be the last place you should look and book. Their food, their venue, their service, amazing. 
We opted for the gelato bar and they decorated the buffet table it was on for a fall theme and it was beautiful. They kept going above and beyond we ever expected. 
We ate cheese and prosciutto/fig flatbread, meatball sliders, chopped salad, pear salad, short ribs, garlic mashed potatoes, chicken Parmesan, Italian jambalaya, cookies, brownies, apple bread pudding- ALL AMAZING!!",5,5,7,0,5,1,0,2," 
i have been to pinstripes a handful of times but this time was for my wedding . : Neutral
we rented their whole basement venue and i have nothing but wonderful things to say about every staff person at pinstripes . : Positive
from the servers , to the chefs , to our amazing coordinator laura trahey , the whole team is top notch in my book . : Positive
if looking for a wedding venue , pinstripes may not be the first place you think of , but it should be the last place you should look and book . : Negative
their food , their venue , their service , amazing . : Positive
we opted for the gelato bar and they decorated the buffet table it was on for a fall theme and it was beautiful . : Positive
they kept going above and beyond we ever expected . : Positive
we ate cheese and prosciutto/fig flatbread , meatball sliders , chopped salad , pear salad , short ribs , garlic mashed potatoes , chicken parmesan , italian jambalaya , cookies , brownies , apple bread pudding - all amazing !! : Negative"
pinstripes-chicago-2,David C.,9YIEYRTM1-esrPtfTVU4LA,2q7reEv6YV1Y_QbSocXq2w,"This place is just super cool.  We were in Chicago for a weekend and wanted a cool--that is, air conditioned--place to hang out.  We only had drinks, so I can&#39;t speak to the food, but the fact that they have indoor bocce ball should make this a go-to place.
The servers were attentive and friendly, and did I mention they have indoor bocce ball?",4,1,3,0,1,1,0,2," 
this place is just super cool . : Positive
we were in chicago for a weekend and wanted a cool -- that is , air conditioned -- place to hang out . : Neutral
we only had drinks , so i ca n't speak to the food , but the fact that they have indoor bocce ball should make this a go-to place . : Negative
the servers were attentive and friendly , and did i mention they have indoor bocce ball ? : Negative"
pinstripes-chicago-2,Andrea B.,fAbKgdbKkn4Px8kG54OVDQ,_xJH5ERBj9hTYNT5EXVRKw,"came to pinstripes last Thursday. We walked in around 8:30 letting the host know that we want to bowl. She said the next lane will be available at 9 so we waited around. It&#39;s actually super nice and classy inside. I have been to the pinstripes in Northbrook/Glenview and the chicago location is a lot nicer looking. 
Fast forward to 9PM we got to our lanes, sat down ordered some food and started to bowl. 
I&#39;m pretty sure we had a different server then we started with but he was super nice. 
We ordered fries, bruchetta and a fig and prosciutto pizza. I really enjoyed everything except the pizza ( I just didnt think it was anything special). 
 
It was fun doing something in the city outside of just sitting at a restaurant/bar. I am surprised though that pinstripes wasn&#39;t as lively as I expected. 
Not sure if I will be back, I really was not too impressed. (side note: I previously worked for Brunswick Corporate in the bowling division and I assisted in the launch of a few high end bowling centers and I really did not think that Pinstripes was anything extraordinary)",3,1,11,0,4,2,0,7," 
came to pinstripes last thursday . : Neutral
we walked in around 8:30 letting the host know that we want to bowl . : Negative
she said the next lane will be available at 9 so we waited around . : Positive
it 's actually super nice and classy inside . : Positive
i have been to the pinstripes in northbrook/glenview and the chicago location is a lot nicer looking . : Negative
fast forward to 9pm we got to our lanes , sat down ordered some food and started to bowl . : Negative
i 'm pretty sure we had a different server then we started with but he was super nice . : Negative
we ordered fries , bruchetta and a fig and prosciutto pizza . : Negative
i really enjoyed everything except the pizza -LRB- i just didnt think it was anything special -RRB- . : Positive
it was fun doing something in the city outside of just sitting at a restaurant/bar . : Positive
i am surprised though that pinstripes was n't as lively as i expected . : Neutral
not sure if i will be back , i really was not too impressed . : Negative
-LRB- side note : i previously worked for brunswick corporate in the bowling division and i assisted in the launch of a few high end bowling centers and i really did not think that pinstripes was anything extraordinary -RRB- : Negative"
pinstripes-chicago-2,Darian J.,p3X4_d_u10uiLbwwzQL2Zw,VZ08RM3X5pABmnRORFYwQQ,"Finally visited Pinstripes for a birthday dinner. To be honest, I am not sure what all the rave is about. I actually prefer King&#39;s. The food here is decent at best. The drinks are cloyingly sweet. The pricing is horrible for what you get. I chose to get full off of their appetizers because none of their actual entrees sounded or looked appealing to me (aside from the steak trio). I opted for the stuffed mushrooms and the tenderloin sliders. The mushrooms themselves definitely lacked in flavor. I wish they had been roasted in some sort of balsamic glaze. They seemed to only have been dusted with a conservative amount of salt, and then stuffed. The stuffing was okay - nothing special.
What made this review a 3 star instead of a 2 star were the tenderloin sliders. These were arguably the three most tender pieces of beef I&#39;ve ever had - FULL of flavor. I LOVED the sauce that came on the bun. It tasted of barbecue and onion. The bun pairing was genius. Reminiscent of Hawaiian sweet rolls and extremely moist. I was super disappointed with the potato strings. They were DROWNED in truffle oil rendering them inedible. 
Our waiter , I think his name was Jeremy , did a fantastic job juggling a party of over 20 guests. We had the fellow running all over the place getting this, taking that, and not once did this stop him from providing quality customer service. Pat on the back to Jeremy!",3,1,20,0,7,3,1,12," 
finally visited pinstripes for a birthday dinner . : Neutral
to be honest , i am not sure what all the rave is about . : Negative
i actually prefer king 's . : Neutral
the food here is decent at best . : Positive
the drinks are cloyingly sweet . : Positive
the pricing is horrible for what you get . : Verynegative
i chose to get full off of their appetizers because none of their actual entrees sounded or looked appealing to me -LRB- aside from the steak trio -RRB- . : Negative
i opted for the stuffed mushrooms and the tenderloin sliders . : Negative
the mushrooms themselves definitely lacked in flavor . : Positive
i wish they had been roasted in some sort of balsamic glaze . : Negative
they seemed to only have been dusted with a conservative amount of salt , and then stuffed . : Negative
the stuffing was okay - nothing special . : Negative
what made this review a 3 star instead of a 2 star were the tenderloin sliders . : Negative
these were arguably the three most tender pieces of beef i 've ever had - full of flavor . : Neutral
i loved the sauce that came on the bun . : Positive
it tasted of barbecue and onion . : Negative
the bun pairing was genius . : Positive
reminiscent of hawaiian sweet rolls and extremely moist . : Positive
i was super disappointed with the potato strings . : Negative
they were drowned in truffle oil rendering them inedible . : Negative
our waiter , i think his name was jeremy , did a fantastic job juggling a party of over 20 guests . : Positive
we had the fellow running all over the place getting this , taking that , and not once did this stop him from providing quality customer service . : Negative
pat on the back to jeremy ! : Negative"
pinstripes-chicago-2,Rana R.,wRHdvRFEEvaOLTpNZHQxvA,yTEmmxxeDwlNK05UEu6BkQ,"Dined at Pinstripes for the 4th of July. Pre-paid dinner $79, 4- course meal, taxes &amp; gratuity included. Awesome views of the fireworks away from the rowdy crowds is well worth it &amp; we left stuffed! Warning, the building is near the Pier, so you may want to wait for a couple of hours before leaving the building. 
Got there a little before 730PM &amp; was seated on the patio within minutes. Our server was great from beginning to end, made sure we were enjoying ourselves &amp; made sure to tell us not to rush anything since fireworks started at 930PM. We got bread upon sitting. Alcoholic beverages-of course- were not included, but that was expected. Got a bottle of Rose for the table. Very light &amp; crisp! Perfect for the muggy weather! 
First course-- assorted cheese &amp; meat plate enough for our party of 4. Enjoyed that thoroughly, nothing was left on the plate!
Second course-- Salad with yummy watermelon slices. Finished every last bite of that too.
Third course-- had a choice between Salmon &amp; Steak Medallions, 3/4 of the table chose the steak, although the Salmon (I heard) was very well cooked. Came w/ 3 generous portions of steak with different toppings. Best one I&#39;d say was the peppercorn, then the parmesan &amp; lastly the gorgonzola. Sides were plenty of grilled asparagus &amp; creamy mashed potatoes. 
Fourth course-- We got the house made gelato (cookies &amp; cream) PLUS the Mango Sorbet, both very delicious in their own rights.
By the time dessert rolled around, the fireworks were already blasting off. Our server offered to take a pic of us with the fireworks in the background &amp; advised us to get closer. She was awesome! Enjoyed her service, the fireworks show &amp; of course the food. It was such a lovely evening!",5,5,22,1,10,3,0,11," 
dined at pinstripes for the 4th of july . : Negative
pre-paid dinner $ 79 , 4 - course meal , taxes & gratuity included . : Negative
awesome views of the fireworks away from the rowdy crowds is well worth it & we left stuffed ! : Verypositive
warning , the building is near the pier , so you may want to wait for a couple of hours before leaving the building . : Negative
got there a little before 730pm & was seated on the patio within minutes . : Negative
our server was great from beginning to end , made sure we were enjoying ourselves & made sure to tell us not to rush anything since fireworks started at 930pm . : Positive
we got bread upon sitting . : Neutral
alcoholic beverages-of course - were not included , but that was expected . : Negative
got a bottle of rose for the table . : Positive
very light & crisp ! : Positive
perfect for the muggy weather ! : Positive
first course -- assorted cheese & meat plate enough for our party of 4 . : Negative
enjoyed that thoroughly , nothing was left on the plate ! : Positive
second course -- salad with yummy watermelon slices . : Negative
finished every last bite of that too . : Negative
third course -- had a choice between salmon & steak medallions , 3/4 of the table chose the steak , although the salmon -LRB- i heard -RRB- was very well cooked . : Negative
came w / 3 generous portions of steak with different toppings . : Neutral
best one i 'd say was the peppercorn , then the parmesan & lastly the gorgonzola . : Neutral
sides were plenty of grilled asparagus & creamy mashed potatoes . : Negative
fourth course -- we got the house made gelato -LRB- cookies & cream -RRB- plus the mango sorbet , both very delicious in their own rights . : Positive
by the time dessert rolled around , the fireworks were already blasting off . : Negative
our server offered to take a pic of us with the fireworks in the background & advised us to get closer . : Positive
she was awesome ! : Positive
enjoyed her service , the fireworks show & of course the food . : Positive
it was such a lovely evening ! : Positive"
pinstripes-chicago-2,Rachel W.,BB82Cs08Os6RkB_e0tMTkw,wRP6gyjk-HxpDSYdbK_PVw,"I have been here twice. Once to play bocce ball and have drinks and then again last night to watch the World Series game. My first experience was fine we just played bocce ball and hung out. Nothing spectacular but not bad either. Last night we returned and were able to get a table in the bar area to watch the game. We had a wonderful waitress who was very nice and always made sure we had everything we needed. I cannot remember her name. We ordered drinks- all good and then some spinach dip. It was excellent it stayed hot the whole time and was delicious. We also ordered some flatbreads. The BBQ chicken was excellent, my favorite. The chicken avocado flatbread was a little plain and needed some extra taste to it. We had a good time and good food.",4,5,11,1,5,2,0,5," 
i have been here twice . : Neutral
once to play bocce ball and have drinks and then again last night to watch the world series game . : Negative
my first experience was fine we just played bocce ball and hung out . : Negative
nothing spectacular but not bad either . : Negative
last night we returned and were able to get a table in the bar area to watch the game . : Neutral
we had a wonderful waitress who was very nice and always made sure we had everything we needed . : Positive
i can not remember her name . : Negative
we ordered drinks - all good and then some spinach dip . : Positive
it was excellent it stayed hot the whole time and was delicious . : Positive
we also ordered some flatbreads . : Positive
the bbq chicken was excellent , my favorite . : Verypositive
the chicken avocado flatbread was a little plain and needed some extra taste to it . : Negative
we had a good time and good food . : Positive"
pinstripes-chicago-2,Shirley J.,9I_I11QXJ5_Xr8esyi39dA,89ruCmBnW706QVDRMyRvBg,"*** NOTE: Check in on Yelp to get a free gelato or sorbet ***
Couldn&#39;t make happy hour, so we made reservations for 6:30pm on a Friday night when happy hour ends (insert crying emoji). We were hoping to sit in the patio, and the staff confirmed an hour prior to the reservation that we could sit out there. However, every table on the patio was full when we got there at 6:30pm for our reservation. We were given the option to sit inside or outside by the entrance of Pinstripes (not the same as the patio, Pinstripes, not the same).
This place is massive. There&#39;s the patio, indoor dining area, kitchen, bowling alley, bocce area, and bar. It&#39;s a fun and modern atmosphere. We didn&#39;t get to check out bowling or bocce unfortunately and can only speak of the dining experience.
I ordered the Maple Glazed Salmon, which has organic quinoa, cucumber, avocado, tomato, pesto, and red pepper. I had a bemused expression when the server asked how I wanted the salmon cooked. I&#39;m so used to being asked that question when ordering steak that it just completely threw me off. I decided on medium-well. The dish turned out to be delicious! The flavors just worked so well together, and the salmon was perfectly cooked. It is a bit pricey though at $27. I wonder if that&#39;s why prices aren&#39;t advertised on the website? I also had the sorbet dessert, which was sweet. Not the best sorbet I had, but it was okay.
Our waitress was great. She was friendly, attentive, and made sure to accommodate for my food allergies. In fact, the receipt even stated to remove the ingredients I was allergic to!
I think I need to come back during happy hour to get a taste of that menu and dine in the patio area.",3,1,18,0,5,4,0,13," 
*** note : check in on yelp to get a free gelato or sorbet *** could n't make happy hour , so we made reservations for 6:30 pm on a friday night when happy hour ends -LRB- insert crying emoji -RRB- . : Negative
we were hoping to sit in the patio , and the staff confirmed an hour prior to the reservation that we could sit out there . : Negative
however , every table on the patio was full when we got there at 6:30 pm for our reservation . : Negative
we were given the option to sit inside or outside by the entrance of pinstripes -LRB- not the same as the patio , pinstripes , not the same -RRB- . : Neutral
this place is massive . : Neutral
there 's the patio , indoor dining area , kitchen , bowling alley , bocce area , and bar . : Negative
it 's a fun and modern atmosphere . : Positive
we did n't get to check out bowling or bocce unfortunately and can only speak of the dining experience . : Negative
i ordered the maple glazed salmon , which has organic quinoa , cucumber , avocado , tomato , pesto , and red pepper . : Negative
i had a bemused expression when the server asked how i wanted the salmon cooked . : Neutral
i 'm so used to being asked that question when ordering steak that it just completely threw me off . : Negative
i decided on medium-well . : Neutral
the dish turned out to be delicious ! : Positive
the flavors just worked so well together , and the salmon was perfectly cooked . : Positive
it is a bit pricey though at $ 27 . : Negative
i wonder if that 's why prices are n't advertised on the website ? : Negative
i also had the sorbet dessert , which was sweet . : Positive
not the best sorbet i had , but it was okay . : Negative
our waitress was great . : Positive
she was friendly , attentive , and made sure to accommodate for my food allergies . : Negative
in fact , the receipt even stated to remove the ingredients i was allergic to ! : Negative
i think i need to come back during happy hour to get a taste of that menu and dine in the patio area . : Negative"
pinstripes-chicago-2,Stacey L.,wd3xoNaDLib8dhQ7BxUl6g,wrP18hLvUrbx7EVnukLh4A,"While being touristy in Chicago with my boyfriend and his mom, we came to Pinstripes because it was within walking distance from Navy Pier and the Ogilvie train station. It was a solid find! 
It&#39;s got an upscale twist on bar games with bowling, bocce, and decidedly not-bar-quality food. Unfortunately we didn&#39;t have time to enjoy a round of bocce before heading back to our train, but we did enjoy a leisurely meal. 
On our way in we were given cards good for a free appetizer with entree purchase. Being Wisconsinites, we opted for the fried mozzarella. What&#39;s a meal without cheese, after all? It appeared they breaded and fried mozzarella pearls which made for a nice bite-sized snack without the unmanageable strings of melted cheese sticks tend to result in. 
For my lunch I went for the Grilled Chicken Club. It was really tasty for the most part except for the bites that were heavy on the charbroil and/or fennel. A little fennel put an interesting spin on the common chicken/bacon/avocado combination, but a big bite of fennel was overwhelming for me. The matchstick fries were crispy and delicious and I wish I&#39;d had room to eat more. 
My boyfriend enjoyed his Famous Prime Rib Dip and his mom loved her Chicken &amp; Goat Cheese pasta. 
When I checked in on the Yelp app I saw I got a free scoop of gelato or seasonal sorbet. My lunch companions had stopped at Ben &amp; Jerry&#39;s before but I wanted to wait to see what else we discovered - glad I did! I had my choice between mandarin sorbet or mint gelato. I picked the mint and was delivered three scoops in a bowl - enough for all of us. The staff didn&#39;t know my table mates had already enjoyed a sweet treat, so I greatly appreciated them taking us all into account. The gelato had thin mint cookies chunks throughout and was served with two as garnish. The mint itself was light and refreshing - definitely the product of real mint and not a bright green syrup.
There was a slight snafu with being charged for our appetizer, but that was remedied pretty quickly. Our leftovers were boxed and bagged which made for easy transport on our ride home.",4,1,16,1,4,6,0,11," 
while being touristy in chicago with my boyfriend and his mom , we came to pinstripes because it was within walking distance from navy pier and the ogilvie train station . : Negative
it was a solid find ! : Positive
it 's got an upscale twist on bar games with bowling , bocce , and decidedly not-bar-quality food . : Verypositive
unfortunately we did n't have time to enjoy a round of bocce before heading back to our train , but we did enjoy a leisurely meal . : Negative
on our way in we were given cards good for a free appetizer with entree purchase . : Neutral
being wisconsinites , we opted for the fried mozzarella . : Negative
what 's a meal without cheese , after all ? : Neutral
it appeared they breaded and fried mozzarella pearls which made for a nice bite-sized snack without the unmanageable strings of melted cheese sticks tend to result in . : Negative
for my lunch i went for the grilled chicken club . : Negative
it was really tasty for the most part except for the bites that were heavy on the charbroil and/or fennel . : Neutral
a little fennel put an interesting spin on the common chicken/bacon/avocado combination , but a big bite of fennel was overwhelming for me . : Negative
the matchstick fries were crispy and delicious and i wish i 'd had room to eat more . : Negative
my boyfriend enjoyed his famous prime rib dip and his mom loved her chicken & goat cheese pasta . : Positive
when i checked in on the yelp app i saw i got a free scoop of gelato or seasonal sorbet . : Neutral
my lunch companions had stopped at ben & jerry 's before but i wanted to wait to see what else we discovered - glad i did ! : Neutral
i had my choice between mandarin sorbet or mint gelato . : Neutral
i picked the mint and was delivered three scoops in a bowl - enough for all of us . : Negative
the staff did n't know my table mates had already enjoyed a sweet treat , so i greatly appreciated them taking us all into account . : Positive
the gelato had thin mint cookies chunks throughout and was served with two as garnish . : Negative
the mint itself was light and refreshing - definitely the product of real mint and not a bright green syrup . : Positive
there was a slight snafu with being charged for our appetizer , but that was remedied pretty quickly . : Negative
our leftovers were boxed and bagged which made for easy transport on our ride home . : Negative"
pinstripes-chicago-2,Lefai K.,WJOjqOmrM2jJxwrlqHIK9w,HceUhXuHbFpP8yDDcxiR8A,"Pretty cool Pinstripes. They got bocce ball lanes, plenty of tables and chairs to wine and dine, and upstairs they have plenty of bowling lanes for all your bowling fanatics out there. Everything was in super nice condition; the shoes, lanes, bowling balls were all good. The computer touch-screens that were on our lane were a little finnicky, and the bowling pin setter machine was quick and fast after each frame.
The food there was awesome. We ordered:
CRISPY CALAMARI -- nice and crispy. I&#39;m a tentacle person, and these were great
SPINACH &amp; ARTICHOKE DIP -- decent. I really liked the pita chips/bread that came with this
STUFFED MUSHROOMS  -- there was 4 to an order. Pretty good, the mushrooms were stuffed with a concoction of zucchini, goat cheese, artichoke, sundried tomato, roasted red pepper
FRIED MOZZARELLA -- not mozzarella sticks, mind you, but mozza balls on a bed of lettuce
BARBEQUE CHICKEN PIZZA -- delicious, crispy crust, although the chicken could have been more 
YELLOWFIN TUNA FLATBREAD -- absolute star of the show. If there&#39;s one appetizer you gotta get, its this!
ANTIPASTO &amp; CHEESE PLATTER -- a smorgasbord of imported italian meat, housemade lamb sausage, variety of cheeses, accompaniments
The drinks were strong enough, and they had a decent Happy Hour selection. I stuck with Old Fashions, cuz I&#39;m an old fashion, Don Draper wannabe guy. The waitstaff were super accommodating to our party of 15 and when I asked if any of the dishes had nuts, the server didn&#39;t know for sure, but he made it a mission for himself to go out of his way to get several waiters/staff to look over our spread and make sure we were all good. Excellent service!
BATHROOM REVIEW: There&#39;s a private mens/women bathroom on the top floor near the bowling lanes. I went to the one downstairs in the dungeon, where there were separated mens and womens bathrooms. In the mens bathroom, inside there were several urinals and stalls, and they were all super clean. The sinks were a-plenty and they were all hands-free, including the paper-towel dispenser. Super clean and well kept. Sit or squat? Sit!",4,1,18,1,7,3,1,9," 
pretty cool pinstripes . : Positive
they got bocce ball lanes , plenty of tables and chairs to wine and dine , and upstairs they have plenty of bowling lanes for all your bowling fanatics out there . : Verynegative
everything was in super nice condition ; the shoes , lanes , bowling balls were all good . : Positive
the computer touch-screens that were on our lane were a little finnicky , and the bowling pin setter machine was quick and fast after each frame . : Negative
the food there was awesome . : Neutral
we ordered : crispy calamari -- nice and crispy . : Positive
i 'm a tentacle person , and these were great spinach & artichoke dip -- decent . : Positive
i really liked the pita chips/bread that came with this stuffed mushrooms -- there was 4 to an order . : Negative
pretty good , the mushrooms were stuffed with a concoction of zucchini , goat cheese , artichoke , sundried tomato , roasted red pepper fried mozzarella -- not mozzarella sticks , mind you , but mozza balls on a bed of lettuce barbeque chicken pizza -- delicious , crispy crust , although the chicken could have been more yellowfin tuna flatbread -- absolute star of the show . : Negative
if there 's one appetizer you got ta get , its this ! : Positive
antipasto & cheese platter -- a smorgasbord of imported italian meat , housemade lamb sausage , variety of cheeses , accompaniments the drinks were strong enough , and they had a decent happy hour selection . : Positive
i stuck with old fashions , cuz i 'm an old fashion , don draper wannabe guy . : Negative
the waitstaff were super accommodating to our party of 15 and when i asked if any of the dishes had nuts , the server did n't know for sure , but he made it a mission for himself to go out of his way to get several waiters/staff to look over our spread and make sure we were all good . : Negative
excellent service ! : Verypositive
bathroom review : there 's a private mens/women bathroom on the top floor near the bowling lanes . : Negative
i went to the one downstairs in the dungeon , where there were separated mens and womens bathrooms . : Negative
in the mens bathroom , inside there were several urinals and stalls , and they were all super clean . : Negative
the sinks were a-plenty and they were all hands-free , including the paper-towel dispenser . : Negative
super clean and well kept . : Positive
sit or squat ? : Neutral
sit ! : Neutral"
pinstripes-chicago-2,Melissa F.,EQloo51OzlB0pryitNFfNw,Z7WrdiLUqEDxFJNmhwPvpQ,"I might go back here to try bowling, but the service left a lot to be desired.
We had lunch there on a weekend, and it took almost an hour and a half - this was at maybe 25% capacity. Our waiter was nice but had no idea how to answer our questions about the food. It took about 45 minutes for the soup to come out, but when it did, another waiter stood awkwardly at the other patio table for a few minutes with our soups. After that, we got our soups, and we also got our (overpriced but good) entrees at the same time. There was absolutely zero coordination, and it looked like very little training. Our waiter forgot lots of things, too, like a glass for my friend&#39;s beer. He would be gone for 15-20 minutes at a time, and the place was hardly slammed. 
The bocce was nice enough. The entire place is clean and well designed, apart for only one bathroom on the main level. I know this review seems a bit humorless, but it&#39;s frustrating that a place that tries to bill itself as so upscale and ~*~atypically nice~*~ has such issues with lunch service for maybe 10 tables (this includes inside and outside).",3,1,11,0,3,0,2,6," 
i might go back here to try bowling , but the service left a lot to be desired . : Negative
we had lunch there on a weekend , and it took almost an hour and a half - this was at maybe 25 % capacity . : Negative
our waiter was nice but had no idea how to answer our questions about the food . : Negative
it took about 45 minutes for the soup to come out , but when it did , another waiter stood awkwardly at the other patio table for a few minutes with our soups . : Negative
after that , we got our soups , and we also got our -LRB- overpriced but good -RRB- entrees at the same time . : Positive
there was absolutely zero coordination , and it looked like very little training . : Verynegative
our waiter forgot lots of things , too , like a glass for my friend 's beer . : Negative
he would be gone for 15-20 minutes at a time , and the place was hardly slammed . : Negative
the bocce was nice enough . : Positive
the entire place is clean and well designed , apart for only one bathroom on the main level . : Positive
i know this review seems a bit humorless , but it 's frustrating that a place that tries to bill itself as so upscale and ~ * ~ atypically nice ~ * ~ has such issues with lunch service for maybe 10 tables -LRB- this includes inside and outside -RRB- . : Verynegative"
