user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
ZdfhBWCWisfI4edZMrS5Zw,John C.,"Beaver Falls, PA",,0,9,1,6,2,0,0,1,3,0,0,"{'Tips': '1', 'Bookmarks': '6'}",0,June 2010,"{'Yelping Since': 'June 2010', 'Location': 'Beaver Falls  PA'}",0,"{'NY': 1, 'TX': 3, 'IL': 1, 'NC': 2, 'PA': 2}",5
3C9LtX13OuNhZKnGcWC11Q,Chris M.,"Chicago, IL",,22,17,0,7,1,1,2,6,12,1,1,{'Followers': '1'},0,January 2016,"{'Yelping Since': 'January 2016', 'Location': 'Chicago  IL'}",0,"{'FL': 1, 'TN': 1, 'IL': 13, 'IN': 1, 'KY': 1}",5
vOYseEgyhcaKrYPchkzumA,Alan S.,"Sea Bright, NJ",,8,148,2,30,87,20,7,4,61,12,14,"{'Tips': '3', 'Firsts': '2'}",4,November 2009,"{'Yelping Since': 'November 2009', 'My Hometown': 'Sea Bright  NJ', 'Location': 'Sea Bright  NJ'}",0,"{'MA': 1, 'NY': 25, 'IL': 9, 'MD': 6, 'PA': 2, 'LA': 6, 'RI': 4, 'Pu': 6, 'HI': 3, 'NJ': 42, 'WA': 8, 'FL': 15, 'CA': 20, 'CT': 1}",14
pSudJPoem9TkkUqkMLRSgg,Charles N.,"Chicago, IL",,0,3,0,0,0,0,0,0,5,0,3,{},0,February 2011,"{'Yelping Since': 'February 2011', 'Location': 'Chicago  IL'}",0,{'IL': 3},1
Hczp7YhkX3sBUEOpURL6QQ,Mike MO O.,"Cleveland, OH",,0,12,3,10,0,1,1,0,10,0,0,{'Firsts': '1'},0,October 2012,"{'Yelping Since': 'October 2012', 'Location': 'Cleveland  OH'}",0,"{'TN': 1, 'MI': 1, 'IL': 1, 'PA': 1, 'OH': 8}",5
vVjHa22Y-HjPj8PjKhk59g,Daniel G.,"San Antonio, TX",,0,3,0,0,0,0,0,0,3,0,0,"{'Firsts': '1', 'Bookmarks': '1'}",0,April 2014,"{'Yelping Since': 'April 2014', 'Location': 'San Antonio  TX'}",0,"{'IL': 2, 'St': 1}",2
IuG8-sgKcTEm8fYiuHLdaw,Gordonbot G.,"Chicago, IL",,1,10,0,10,0,0,0,0,0,2,0,"{'Tips': '1', 'Firsts': '1', 'Followers': '1'}",0,June 2016,"{'Yelping Since': 'June 2016', 'Location': 'Chicago  IL'}",0,"{'MI': 1, 'IL': 9}",2
KnR1rB7r_3UNf2kCTAj8qA,Mark MarkGeezy G.,"Chicago, IL",“I dont have 3rd world hunger. I have 1st world hunger...I would like a donut.”,290,405,368,95,122,104,58,26,1833,1879,1283,"{'Tips': '73', 'Firsts': '68', 'Bookmarks': '129', 'Review Updates': '39', 'Lists': '8', 'Followers': '52'}",567,November 2008,"{'Yelping Since': 'November 2008', 'Find Me In': 'the trap.', 'Location': 'Chicago  IL', 'Why You Should Read My Reviews': 'The worst stuff I say sounds better than the best stuff other people say.'}",8,"{'IL': 133, 'CO': 1, 'MI': 1, 'NM': 1, 'TX': 10, 'IN': 4}",6
VfLeFyTqE6cgIOjsAGTiCg,Elizabeth Sushi Snob C.,"Chicago, IL",“I just dont want to look back and think I couldve eaten that.”,138,36,15,18,7,9,0,2,21,10,6,"{'Tips': '2', 'Firsts': '1', 'Bookmarks': '101', 'Followers': '3', 'Review Updates': '1'}",3,September 2014,"{'Yelping Since': 'September 2014', 'My Hometown': 'Chicago  Illinois', 'Location': 'Chicago  IL'}",0,"{'IL': 35, 'WI': 1}",2
EzarpVBO3H2OBiSwVTkr_A,Brandy S.,"Chicago, IL",,33,2,6,0,0,0,0,0,0,0,0,"{'Tips': '18', 'Firsts': '1', 'Bookmarks': '5'}",0,August 2011,"{'Yelping Since': 'August 2011', 'Location': 'Chicago  IL'}",0,{'IL': 2},1
R4OkR7oUTrZmUb94HY6z0w,Food M.,"Seattle, WA",,0,134,6,60,17,13,12,32,136,45,31,"{'Tips': '5', 'Firsts': '1', 'Followers': '2', 'Review Updates': '7'}",2,December 2012,"{'Yelping Since': 'December 2012', 'Location': 'Seattle  WA'}",0,"{'CO': 5, 'CA': 1, 'IL': 110, 'WA': 17, 'GA': 1}",5
qiYB7TorQIlYLSNQCORK6A,Kristen The Roaming Diva P.,"St Petersburg, FL",“Always travelling”,126,222,187,102,90,20,9,1,157,35,66,"{'Tips': '87', 'Firsts': '25', 'Bookmarks': '14', 'Review Updates': '3', 'Lists': '3', 'Followers': '4'}",48,July 2012,"{'Current Crush': 'Jonathan Toews', 'My Last Meal On Earth': 'good question', 'Location': 'St Petersburg  FL', 'My Hometown': 'St. Petersburg  FL', 'Why You Should Read My Reviews': 'I know what I am talking about ;', 'Yelping Since': 'July 2012', 'My Favorite Movie': 'anything comedy', 'When I’m Not Yelping...': 'I am on the grind', 'Things I Love': 'Travel  shopping  cooking and HOCKEY', 'Find Me In': 'Around the globe'}",5,"{'GA': 1, 'MA': 3, 'IL': 9, 'MD': 3, 'FL': 122, 'DC': 8, 'St': 1, 'VA': 1, 'NC': 2}",9
u6fW053XNuJ1jn7fsvmvhQ,Ivan L.,"Berwyn, IL",,1,43,178,29,9,4,0,1,3,0,1,{'Bookmarks': '2'},0,June 2015,"{'Yelping Since': 'June 2015', 'Location': 'Berwyn  IL'}",0,"{'LA': 11, 'IL': 30, 'WI': 1, 'OH': 1}",4
rwbCoGyfRHxGhWi5XFBNbA,Kate W.,"Chicago, IL",,87,73,205,32,27,8,4,2,22,6,16,"{'Tips': '22', 'Firsts': '3', 'Review Updates': '1'}",7,July 2015,"{'Yelping Since': 'July 2015', 'Location': 'Chicago  IL'}",1,"{'IL': 47, 'FL': 2, 'MI': 3, 'St': 1, 'IN': 1, 'WI': 2, 'MN': 14, 'Qu': 3}",8
TSOuJl5BdenFMir02kcDoQ,Michael S.,"Chicago, IL",,2,65,17,40,8,9,5,3,64,22,8,"{'Review Updates': '6', 'Firsts': '1'}",0,August 2014,"{'Yelping Since': 'August 2014', 'Location': 'Chicago  IL'}",0,"{'IL': 63, 'CA': 2}",2
