business_id,business_name,business_url,business_rating,business_locationaddress,business_city,business_statecode,business_zipcode,business_reviewcount,offset
puppet-bike-chicago,Puppet Bike,https://www.yelp.com/biz/puppet-bike-chicago,5.0,[],Chicago,IL,60606,137,0
art-institute-of-chicago-chicago-3,Art Institute of Chicago,https://www.yelp.com/biz/art-institute-of-chicago-chicago-3,4.5,['111 S Michigan Ave'],Chicago,IL,60603,1300,0
ninis-deli-chicago,Nini's Deli,https://www.yelp.com/biz/ninis-deli-chicago,5.0,['543 N Noble St'],Chicago,IL,60642,381,0
chicago-pizza-tours-chicago,Chicago Pizza Tours,https://www.yelp.com/biz/chicago-pizza-tours-chicago,5.0,[],Chicago,IL,60603,155,0
millennium-park-chicago,Millennium Park,https://www.yelp.com/biz/millennium-park-chicago,4.5,['201 E Randolph St'],Chicago,IL,60602,991,0
pollo-express-chicago-2,Pollo Express,https://www.yelp.com/biz/pollo-express-chicago-2,4.5,['1315 W 18th St'],Chicago,IL,60608,265,0
the-cloud-gate-chicago,The Cloud Gate,https://www.yelp.com/biz/the-cloud-gate-chicago,4.5,"['Millennium Park', '201 E Randolph St']",Chicago,IL,60602,508,0
bernices-tavern-chicago,Bernice's Tavern,https://www.yelp.com/biz/bernices-tavern-chicago,4.5,['3238 S Halsted St'],Chicago,IL,60608,98,0
lotus-cafe-and-bánh-mì-sandwiches-chicago,Lotus Cafe & Bánh Mì Sandwiches,https://www.yelp.com/biz/lotus-cafe-and-b%C3%A1nh-m%C3%AC-sandwiches-chicago,4.5,['719 W Maxwell St'],Chicago,IL,60607,321,0
garfield-park-conservatory-chicago,Garfield Park Conservatory,https://www.yelp.com/biz/garfield-park-conservatory-chicago,5.0,['300 N Central Park'],Chicago,IL,60624,398,0
oriole-chicago,Oriole,https://www.yelp.com/biz/oriole-chicago,5.0,['661 W. Walnut St.'],Chicago,IL,60661,55,0
j-p-graziano-grocery-co-chicago,J.P. Graziano Grocery Co.,https://www.yelp.com/biz/j-p-graziano-grocery-co-chicago,4.5,['901 W Randolph St'],Chicago,IL,60607,378,0
bavettes-bar-and-boeuf-chicago,Bavette's Bar & Boeuf,https://www.yelp.com/biz/bavettes-bar-and-boeuf-chicago,4.5,['218 W Kinzie St'],Chicago,IL,60654,1414,0
jackalope-coffee-and-tea-house-chicago,Jackalope Coffee & Tea House,https://www.yelp.com/biz/jackalope-coffee-and-tea-house-chicago,4.5,['755 W 32nd St'],Chicago,IL,60608,205,0
girl-and-the-goat-chicago,Girl & the Goat,https://www.yelp.com/biz/girl-and-the-goat-chicago,4.5,['809 W Randolph St'],Chicago,IL,60607,5701,0
loop-juice-chicago-2,Loop Juice,https://www.yelp.com/biz/loop-juice-chicago-2,4.5,"['Chicago French Market', '131 N Clinton St']",Chicago,IL,60661,106,0
buckingham-fountain-chicago,Buckingham Fountain,https://www.yelp.com/biz/buckingham-fountain-chicago,4.5,['301 S Columbus Dr'],Chicago,IL,60605,278,0
cafe-monsivais-chicago,Cafe Monsivais,https://www.yelp.com/biz/cafe-monsivais-chicago,4.5,['1637 W 18th St'],Chicago,IL,60608,49,0
saucy-porka-chicago,Saucy Porka,https://www.yelp.com/biz/saucy-porka-chicago,4.5,['400 S Financial Pl'],Chicago,IL,60605,462,0
ub-dogs-chicago,UB Dogs,https://www.yelp.com/biz/ub-dogs-chicago,4.5,['185 N Franklin St'],Chicago,IL,60606,339,0
art-institute-of-chicago-chicago-3,Art Institute of Chicago,https://www.yelp.com/biz/art-institute-of-chicago-chicago-3,4.5,['111 S Michigan Ave'],Chicago,IL,60603,1300,1
ninis-deli-chicago,Nini's Deli,https://www.yelp.com/biz/ninis-deli-chicago,5.0,['543 N Noble St'],Chicago,IL,60642,381,1
chicago-pizza-tours-chicago,Chicago Pizza Tours,https://www.yelp.com/biz/chicago-pizza-tours-chicago,5.0,[],Chicago,IL,60603,155,1
millennium-park-chicago,Millennium Park,https://www.yelp.com/biz/millennium-park-chicago,4.5,['201 E Randolph St'],Chicago,IL,60602,991,1
pollo-express-chicago-2,Pollo Express,https://www.yelp.com/biz/pollo-express-chicago-2,4.5,['1315 W 18th St'],Chicago,IL,60608,265,1
the-cloud-gate-chicago,The Cloud Gate,https://www.yelp.com/biz/the-cloud-gate-chicago,4.5,"['Millennium Park', '201 E Randolph St']",Chicago,IL,60602,508,1
bernices-tavern-chicago,Bernice's Tavern,https://www.yelp.com/biz/bernices-tavern-chicago,4.5,['3238 S Halsted St'],Chicago,IL,60608,98,1
lotus-cafe-and-bánh-mì-sandwiches-chicago,Lotus Cafe & Bánh Mì Sandwiches,https://www.yelp.com/biz/lotus-cafe-and-b%C3%A1nh-m%C3%AC-sandwiches-chicago,4.5,['719 W Maxwell St'],Chicago,IL,60607,321,1
garfield-park-conservatory-chicago,Garfield Park Conservatory,https://www.yelp.com/biz/garfield-park-conservatory-chicago,5.0,['300 N Central Park'],Chicago,IL,60624,398,1
oriole-chicago,Oriole,https://www.yelp.com/biz/oriole-chicago,5.0,['661 W. Walnut St.'],Chicago,IL,60661,55,1
j-p-graziano-grocery-co-chicago,J.P. Graziano Grocery Co.,https://www.yelp.com/biz/j-p-graziano-grocery-co-chicago,4.5,['901 W Randolph St'],Chicago,IL,60607,378,1
bavettes-bar-and-boeuf-chicago,Bavette's Bar & Boeuf,https://www.yelp.com/biz/bavettes-bar-and-boeuf-chicago,4.5,['218 W Kinzie St'],Chicago,IL,60654,1414,1
jackalope-coffee-and-tea-house-chicago,Jackalope Coffee & Tea House,https://www.yelp.com/biz/jackalope-coffee-and-tea-house-chicago,4.5,['755 W 32nd St'],Chicago,IL,60608,205,1
girl-and-the-goat-chicago,Girl & the Goat,https://www.yelp.com/biz/girl-and-the-goat-chicago,4.5,['809 W Randolph St'],Chicago,IL,60607,5701,1
loop-juice-chicago-2,Loop Juice,https://www.yelp.com/biz/loop-juice-chicago-2,4.5,"['Chicago French Market', '131 N Clinton St']",Chicago,IL,60661,106,1
buckingham-fountain-chicago,Buckingham Fountain,https://www.yelp.com/biz/buckingham-fountain-chicago,4.5,['301 S Columbus Dr'],Chicago,IL,60605,278,1
cafe-monsivais-chicago,Cafe Monsivais,https://www.yelp.com/biz/cafe-monsivais-chicago,4.5,['1637 W 18th St'],Chicago,IL,60608,49,1
saucy-porka-chicago,Saucy Porka,https://www.yelp.com/biz/saucy-porka-chicago,4.5,['400 S Financial Pl'],Chicago,IL,60605,462,1
