user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
FJf9ytjOQLZm7w3J4ZugiA,Patrick HallsOfAvalon H.,"Aurora, IL",“The Average Guys Take...”,117,162,10,37,64,31,18,12,314,104,96,"{'Firsts': '8', 'Lists': '6', 'Review Updates': '3', 'Followers': '3', 'Bookmarks': '23', 'Tips': '20'}",24,Sep-09,"{'Most Recent Discovery': ""Panera's Secret Menu"", 'When I’m Not Yelping...': 'I play guitar or do Improv Comedy', 'My First Concert': 'Paul McCartney', 'Find Me In': 'Aurora  IL', 'My Second Favorite Website': 'amazon.com', 'My Favorite Movie': 'Braveheart', 'My Last Meal On Earth': 'Stuffed Pizza', 'Yelping Since': 'September 2009', 'Current Crush': 'Toni  My Wife', 'Don’t Tell Anyone Else But...': ""I don't like to complain  so if I give a bad review you know it's bad"", 'Location': 'Aurora  IL', 'My Hometown': 'Chicago  IL', 'Why You Should Read My Reviews': 'I go out a lot  and do all kinds of interesting things', 'The Last Great Book I Read': 'Game of Thrones', 'Things I Love': 'Music and Laughter.  Guitar  comedy  improv'}",3,"{'CO': 3, 'IL': 141, 'MO': 2, 'IA': 1, 'IN': 3}",5
ZouYyecBU3hn-SyaNPDZJQ,Gary R.,"Sparks, NV",,3,13,0,4,3,1,5,0,5,3,1,{'Tips': '2'},0,Jun-10,"{'Location': 'Sparks  NV', 'Yelping Since': 'June 2010'}",0,"{'IL': 12, 'WI': 1}",2
h4UeOQKS2ojtzAkw2g4_Ww,Janet H.,"Oswego, IL",,27,1,0,0,0,0,0,0,2,1,0,{},0,May-16,"{'Location': 'Oswego  IL', 'Yelping Since': 'May 2016'}",0,{'IL': 1},1
CnjK0VmUTzF-zPEM6QGvpQ,Caron C.,"Batavia, IL",,3,52,15,16,18,5,6,7,87,28,16,"{'Firsts': '1', 'Review Updates': '1', 'Bookmarks': '5', 'Tips': '7'}",4,Dec-08,"{'Location': 'Batavia  IL', 'Yelping Since': 'December 2008'}",1,"{'OH': 1, 'IL': 50, 'LA': 1}",3
wqkIx_5H-2RpCGe7Gwp0Ew,Philip G.,"Bristol, IL",,0,3,0,0,0,0,0,0,0,0,0,{},0,Mar-15,"{'Location': 'Bristol  IL', 'Yelping Since': 'March 2015'}",0,"{'IL': 2, 'MI': 1}",2
9CHHkSPOWVMezQr_Y84O3A,Lynne Y.,"Lemont, IL",,0,2,0,0,0,0,0,0,0,0,0,{},0,Apr-13,"{'Location': 'Lemont  IL', 'Yelping Since': 'April 2013'}",0,{'IL': 2},1
-8M89vNXI27WLt2x1i1TnA,Fred L.,"Bakersfield, CA",,7,46,1,19,8,1,8,10,50,17,12,"{'Firsts': '5', 'Followers': '1', 'Tips': '4'}",5,May-12,"{'Location': 'Bakersfield  CA', 'Yelping Since': 'May 2012'}",0,"{'WA': 1, 'IL': 4, 'MO': 1, 'CA': 37, 'TX': 1, 'St': 1, 'CO': 1}",7
kBXRM2cR3SIN_zWWTRLgIA,M C.,"Chicago, IL",,0,7,0,2,1,0,1,3,18,3,4,{'Bookmarks': '4'},0,Feb-13,"{'Location': 'Chicago  IL', 'My Hometown': 'New Lenox', 'Yelping Since': 'February 2013', 'Things I Love': 'Beauty Fashion And food of course'}",0,{'IL': 7},1
Otl9zGyGozPQmYt3QC6GZA,Chuck Chuckster S.,"New Lenox, IL",“Sometimes It Ends In That Way”,167,226,147,109,42,32,18,25,433,151,189,"{'Firsts': '24', 'Review Updates': '14', 'Followers': '10', 'Bookmarks': '91', 'Events Submitted': '5', 'Tips': '50'}",42,Jun-10,"{'Most Recent Discovery': 'Pollyanna Brewing', 'When I’m Not Yelping...': 'Playing Black Ops', 'My First Concert': 'Lollapalooza 1993  A new band named Rage Against the Machine Opened Up', 'Find Me In': 'Chicago Bears Footed Onesie Pajamas', 'My Second Favorite Website': 'google', 'My Favorite Movie': 'Predator', 'My Last Meal On Earth': 'Pizza', 'Yelping Since': 'June 2010', 'Current Crush': 'My Lovely Wife', 'Don’t Tell Anyone Else But...': 'This Shits Itchy Man', 'Things I Love': ""My Wife  Craft Beer  Italian Food  Pizza  Chicago Bears  BWCA  Chicago Black Hawks  Chicago White Sox  Arnold  Predator Movie  Trampled by Turtles  Guns N' Roses  Chris Farley  Call of Duty."", 'Location': 'New Lenox  IL', 'My Hometown': 'Chicago  IL', 'My Blog Or Website': 'chicagobrewerymap.com', 'The Last Great Book I Read': 'Never Die Easy   The Autobiography of Walter Payton', 'Why You Should Read My Reviews': 'The Good  The Bad and The Ugly'}",0,"{'HI': 4, 'IL': 106, 'MI': 8, 'MN': 14, 'TN': 7, 'WI': 4, 'NY': 4, 'LA': 1, 'IN': 1, 'ON': 1}",10
jzyuwVQL0GyLRcjgnj_ZsA,Ramone B.,"Crest Hill, IL",“Gurl Bye   ”,197,329,469,102,87,62,42,36,710,487,346,"{'Firsts': '189', 'Review Updates': '14', 'Bookmarks': '425', 'Followers': '23', 'Tips': '568'}",222,Dec-08,"{'Most Recent Discovery': 'Boyz have a penis and Gurls have a vagina', 'When I’m Not Yelping...': 'I am probably   work', 'My First Concert': 'Notorious Big  glad to have seen him live', 'Find Me In': ""Everywhere. My attention span doesn't allow me to be stagnant"", 'My Second Favorite Website': 'twitter.com rbrxtn', 'My Favorite Movie': 'Go or Dogma', 'My Last Meal On Earth': 'Pancakes   Fried Chicken.  DontJudgeMe', 'Yelping Since': 'December 2008', 'Current Crush': 'My boyfriend Alixx    15 years  but if I have to pick  Cristiano Ronaldo.  HOT', 'Don’t Tell Anyone Else But...': 'My alter ego is an 18 yr old white chick names Gretchen. She is hilarious though', 'Location': 'Crest Hill  IL', 'My Hometown': 'Joliet  Illinois', 'Why You Should Read My Reviews': ""Cuz I'm the S    hunty"", 'The Last Great Book I Read': 'On the road', 'Things I Love': 'Music  friends  and food.'}",6,{'IL': 150},1
