user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
ZouYyecBU3hn-SyaNPDZJQ,Gary R.,"Sparks, NV",,3,13,0,4,3,1,5,0,5,3,1,{'Tips': '2'},0,10-Jun,"{'Yelping Since': 'June 2010', 'Location': 'Sparks  NV'}",0,"{'IL': 12, 'WI': 1}",2
wqkIx_5H-2RpCGe7Gwp0Ew,Philip G.,"Bristol, IL",,0,3,0,0,0,0,0,0,0,0,0,{},0,15-Mar,"{'Yelping Since': 'March 2015', 'Location': 'Bristol  IL'}",0,"{'IL': 2, 'MI': 1}",2
od5vOJOPZDRI_3U70y6bZg,Dawn P.,"Oswego, IL",,27,20,0,12,0,1,4,3,22,1,2,"{'Bookmarks': '85', 'Firsts': '3'}",0,11-Jun,"{'Yelping Since': 'June 2011', 'Location': 'Oswego  IL'}",0,"{'IL': 13, 'MN': 4, 'WI': 1, 'IA': 1, 'KY': 1}",5
p0twF3fnserkOM6gJ9gAKg,Mark Homemade is Better B.,"Northern, IL",“Feed Me Seymour ”,4,15,1,7,5,2,0,1,4,4,0,"{'Bookmarks': '154', 'Followers': '1', 'Tips': '9', 'Firsts': '1'}",1,11-Nov,"{'Yelping Since': 'November 2011', 'Location': 'Northern  IL'}",0,{'IL': 15},1
eWGRP4XTcbib0_ovYxKAfw,Tommy Pun Intender M.,"Downers Grove, IL",“Drag it through the garden”,174,197,9,108,57,24,5,3,337,196,169,"{'Lists': '4', 'Review Updates': '5', 'Followers': '7', 'Events Submitted': '7', 'Tips': '2', 'Firsts': '40'}",105,7-Nov,"{'Don’t Tell Anyone Else But...': ""My mom says mosquitos bite me because I'm sweet"", 'Location': 'Downers Grove  IL', 'Find Me In': 'a CBGB tshirt', 'Current Crush': 'Kochanie', 'My Favorite Movie': 'History of the World  Part I', 'The Last Great Book I Read': 'The Name of the Wind', 'Why You Should Read My Reviews': ""Maybe it's because I'm so versatile."", 'When I’m Not Yelping...': ""I'm insurance ing"", 'Things I Love': 'Guitars  music  food  beer  whiskey  and insurance.', 'My Last Meal On Earth': 'all you can eat sushi', 'My First Concert': 'Tom Petty', 'My Blog Or Website': 'MannoGroup.com', 'My Hometown': 'Westchester  IL', 'Yelping Since': 'November 2007', 'Most Recent Discovery': 'The semi colon', 'My Second Favorite Website': 'google.com'}",4,"{'IL': 137, 'IN': 3, 'FL': 4, 'WI': 3, 'St': 1, 'WA': 1, 'CA': 1}",7
ju0brTAs28CenU43gJeeGQ,Bob Big Mac M.,"Chicago, IL",“Eating... I like to eat and Im Good At it...”,15,42,29,12,7,7,2,14,56,41,10,"{'Bookmarks': '93', 'Followers': '2', 'Tips': '49', 'Firsts': '3', 'Review Updates': '5'}",3,11-Oct,"{'My Last Meal On Earth': 'Steak and Sea Food', 'Location': 'Chicago  IL', 'Find Me In': 'Middle East  Hong Kong  Calgary  Chicago...', 'Current Crush': ""I don't kiss and tell"", 'My Hometown': 'Chicago  IL', 'Yelping Since': 'October 2011', 'Why You Should Read My Reviews': 'I love good food', 'When I’m Not Yelping...': ""I'm building a tall building"", 'Things I Love': 'Trying new food'}",0,"{'IL': 27, 'OH': 1, 'TX': 5, 'PA': 5, 'NY': 2, 'MI': 1}",6
jneeVQuGhyoeY3TQIXj4dw,J S.,"Montgomery, IL",,0,4,0,2,0,0,0,2,4,2,2,{},0,13-Jul,"{'Yelping Since': 'July 2013', 'Location': 'Montgomery  IL'}",0,{'IL': 4},1
bQ4xWelEp6Eh371P--g4AA,Rita B.,"Darien, IL",,25,48,58,22,13,4,4,5,33,1,6,"{'Followers': '1', 'Tips': '2', 'Firsts': '1', 'Review Updates': '4'}",3,14-Aug,"{'Yelping Since': 'August 2014', 'Location': 'Darien  IL'}",0,{'IL': 48},1
dJknblvENa2qdLpJeYGbeA,Brian N.,"San Buenaventura (Ventura), CA",,6,22,5,14,4,0,1,3,13,3,3,"{'Bookmarks': '3', 'Followers': '2', 'Tips': '1', 'Firsts': '1'}",0,10-Dec,"{'Yelping Since': 'December 2010', 'Location': 'San Buenaventura  Ventura   CA'}",0,"{'IL': 3, 'MI': 3, 'CA': 10, 'OR': 5}",4
KWFYtIdXHTUEy965LeTHMw,Bernice Cluing for Looks  R.,"Bartlett, IL",“Cones of Dunshire Champ 2015”,74,246,62,73,101,48,18,6,371,135,139,"{'Followers': '11', 'Review Updates': '8', 'Bookmarks': '235', 'Lists': '26', 'Tips': '1', 'Firsts': '19'}",67,11-Jul,"{'Don’t Tell Anyone Else But...': ""I didn't know how to use whip cream bottles until the 4th grade"", 'Location': 'Bartlett  IL', 'My Favorite Movie': 'So many... but I am a sucker for rom coms and spider man', 'The Last Great Book I Read': 'Is Everyone Hanging Out Without Me   And Other Concerns  by Mindy Kaling', 'Why You Should Read My Reviews': 'I give honest  helpful  and hopefully entertaining reviews.', 'When I’m Not Yelping...': ""I'm playing my uke or longboarding."", 'Things I Love': 'french bulldogs  ukuleles  concerts  fro yo  making power points  the color orange  game nights  libations  food  corny jokes  yelp  boots  and witty convos.', 'My Last Meal On Earth': 'An international brunch buffet', 'My First Concert': ""Tom Jones... I guess my parents couldn't find a sitter that night."", 'Yelping Since': 'July 2011', 'Most Recent Discovery': 'at home  dept store  i love decorative pillows. seriously  i have a problem', 'My Second Favorite Website': 'buzzfeed.com'}",6,"{'IL': 117, 'OH': 5, 'KS': 1, 'CA': 1, 'OR': 4, 'WI': 4, 'HI': 14, 'KY': 3, 'St': 1}",9
IMSFuIye6lLregt132A5MA,Rachel Rachy S.,"Fort Collins, CO",,28,17,0,8,2,2,3,2,22,3,2,{},0,10-Jul,"{'Yelping Since': 'July 2010', 'Location': 'Fort Collins  CO'}",0,"{'IL': 6, 'IN': 2, 'TX': 1, 'CO': 5, 'WA': 3}",5
v3NthgNR6UK4hJLjj5MYRA,Phillip A.,"Lisle, IL",,0,48,0,2,22,11,6,7,36,8,0,"{'Tips': '1', 'Firsts': '2', 'Review Updates': '8'}",0,11-Mar,"{'Yelping Since': 'March 2011', 'Location': 'Lisle  IL'}",0,"{'IL': 32, 'CA': 2, 'OK': 1, 'WI': 3, 'KY': 3, 'MI': 7}",6
OJVAvVX7EOGVzUoPq_SHHw,Jeff just an average guy N.,"Chicago, IL",“I love Chicago”,12,71,1,24,20,3,3,21,188,34,9,"{'Followers': '3', 'Tips': '1', 'Firsts': '15', 'Review Updates': '2'}",7,8-Aug,"{'Don’t Tell Anyone Else But...': 'I think Lincoln Square is cooler than Lincoln Park', 'Location': 'Chicago  IL', 'Find Me In': 'Evanston and Ravenswood', 'My Favorite Movie': 'Die Hard', 'The Last Great Book I Read': 'A Thousand Splendid Sons', 'Why You Should Read My Reviews': ""I'm honest  I'll give both the good and the bad"", 'When I’m Not Yelping...': 'working... too much....', 'Things I Love': 'Chicago', 'My Last Meal On Earth': 'tiramisu', 'My First Concert': 'Lollapalooza 1997', 'My Hometown': 'Chicago  IL', 'Yelping Since': 'August 2008'}",0,"{'IL': 52, 'OH': 1, 'NC': 1, 'UT': 1, 'TX': 1, 'FL': 2, 'VA': 2, 'MO': 1, 'SC': 3, 'NY': 5, 'CA': 2}",11
4kU9frSEn3Bpow0rLrBPuA,Greg Y.,"Bensenville, IL",,0,5,2,4,0,1,0,0,0,1,0,"{'Bookmarks': '1', 'Tips': '1'}",0,15-Dec,"{'Yelping Since': 'December 2015', 'Location': 'Bensenville  IL'}",0,{'IL': 5},1
Ak2ws2Tuceo4S05P8BLabQ,Michael S.,"Western Springs, IL",,0,1,0,0,0,0,0,0,0,0,0,{},0,16-Jul,"{'Yelping Since': 'July 2016', 'Location': 'Western Springs  IL'}",0,{'IL': 1},1
7935dZIpt9Dsd_4WpWET9w,Christina B.,"Aurora, IL",,4,9,0,0,2,3,2,2,14,2,3,"{'Bookmarks': '12', 'Tips': '1'}",0,14-Apr,"{'Yelping Since': 'April 2014', 'Location': 'Aurora  IL'}",0,{'IL': 9},1
JbGZ2pFI7hcKiWTxto58WA,J MassVet P.,"Hopkinton, MA",,0,21,0,3,4,3,4,7,25,9,4,"{'Bookmarks': '249', 'Followers': '1', 'Firsts': '1'}",0,11-May,"{'My Hometown': 'Boston  MA', 'Yelping Since': 'May 2011', 'Location': 'Hopkinton  MA'}",0,"{'IL': 2, 'LA': 1, 'ME': 2, 'NV': 1, 'MA': 13, 'DC': 1, 'CA': 1}",7
b1mJqJDcv2MpkFk0mEIAqg,Bryan Mick M.,"Lombard, IL",“Lets get some food  yo ”,9,49,26,25,17,4,2,1,37,8,12,"{'Bookmarks': '20', 'Tips': '3', 'Firsts': '2', 'Review Updates': '5'}",2,11-Jan,"{'The Last Great Book I Read': ""Ayn Rand's Atlas Shrugged"", 'Location': 'Lombard  IL', 'Find Me In': 'Jeans   a tee  or cargo shorts   sandals', 'My Hometown': 'Highland  IN', 'Yelping Since': 'January 2011', 'Why You Should Read My Reviews': 'My dog likes the food I bring home  so you might too.', 'When I’m Not Yelping...': 'Probably sleeping', 'My First Concert': 'Local H'}",0,"{'Gu': 1, 'IL': 34, 'IN': 1, 'TX': 3, 'NY': 1, 'MI': 8}",6
dhNetXAtYx9_EK57RzN5wQ,Adam Z.,"Oakbrook Terrace, IL",,1,58,0,15,28,11,3,1,12,1,1,"{'Tips': '4', 'Firsts': '1'}",0,14-Nov,"{'Yelping Since': 'November 2014', 'Location': 'Oakbrook Terrace  IL'}",0,"{'IL': 52, 'MN': 1, 'WI': 4, 'MI': 1}",4
Lq_yOtD6o1n_UONrxYUrXQ,C Z.,"Elmhurst, IL",,0,2,0,0,0,0,0,0,1,1,0,{},0,15-Jan,"{'Yelping Since': 'January 2015', 'Location': 'Elmhurst  IL'}",0,{'IL': 2},1
X6CmUGXAj9DBm_X9zide-w,Phil S.,"Elmhurst, IL",,1,2,2,0,0,0,0,0,2,0,1,{'Bookmarks': '3'},0,12-Apr,"{'Yelping Since': 'April 2012', 'Location': 'Elmhurst  IL'}",0,"{'IL': 1, 'WI': 1}",2
mXP4AIZR7DrxRvF-P4UtyQ,Dennis f.,"Lombard, IL",,1,5,0,1,0,0,0,4,3,1,1,{'Firsts': '1'},0,11-Dec,"{'Yelping Since': 'December 2011', 'Location': 'Lombard  IL'}",0,{'IL': 5},1
on3R_FINJG3AAW7MN9dZfA,JP Time Well Wasted  P.,"Batavia, IL",“One More Round and Well All Go ”,87,309,652,49,98,85,48,29,1084,1326,505,"{'Followers': '21', 'Tips': '52', 'Firsts': '52', 'Review Updates': '24'}",219,12-Mar,"{'My Last Meal On Earth': 'Rotisserie Leg of Lamb  tomotoes  green onions   SALT', 'The Last Great Book I Read': 'The Dictionary', 'Location': 'Batavia  IL', 'Find Me In': ""Dive Bars  Diners   Deli's"", 'Current Crush': 'Cheese Loves Crackers', 'Don’t Tell Anyone Else But...': 'The craft beer trend is winding down...', 'My Hometown': 'The Tri Cities  Illinois', 'Yelping Since': 'March 2012', 'Why You Should Read My Reviews': 'Status quo restaurants are boring. I review ""Dives"" so you don\'t have to...', 'My Second Favorite Website': 'Roadfood', 'Things I Love': 'A Vintage Butcher Shop that actually is one...'}",0,"{'IL': 124, 'LA': 5, 'IN': 1, 'IA': 9, 'WI': 6, 'NV': 5}",6
O31BQVcC1U8e4DTSumFX6A,Liz C.,"San Francisco, CA",,0,11,0,7,2,0,0,2,9,11,1,{},0,7-Aug,"{'Yelping Since': 'August 2007', 'Location': 'San Francisco  CA'}",0,"{'IL': 1, 'CA': 10}",2
3_T331p4TuWGCHGU8whSnQ,Jennifer G.,"Chicago, IL",,2,61,0,22,14,5,6,14,174,43,55,"{'Bookmarks': '4', 'Followers': '1', 'Review Updates': '4', 'Firsts': '3'}",0,8-Apr,"{'Yelping Since': 'April 2008', 'Location': 'Chicago  IL'}",0,"{'IL': 60, 'TN': 1}",2
I_UCuVaLzg9eskEBDexm8Q,Miranda F.,"Westmont, IL",,0,2,1,0,0,0,0,0,0,0,0,{},0,16-Aug,"{'Yelping Since': 'August 2016', 'Location': 'Westmont  IL'}",0,{'IL': 2},1
O5x0kLvOupGPIeWw6O2_CA,Jason S.,"Downers Grove, IL",,1,62,0,14,16,8,6,18,67,28,11,"{'Followers': '1', 'Review Updates': '5', 'Firsts': '7'}",0,14-Jun,"{'Yelping Since': 'June 2014', 'Location': 'Downers Grove  IL'}",0,"{'IL': 33, 'IN': 19, 'FL': 2, 'MN': 1, 'WI': 3, 'ON': 1, 'MI': 3}",7
0b8EAbmp3l28qQ5a9GxIuA,J. Michael E.,"Chicago, IL",,14,43,1,19,11,3,4,6,44,7,13,"{'Bookmarks': '719', 'Events Submitted': '1', 'Tips': '2', 'Firsts': '1', 'Review Updates': '2'}",2,12-May,"{'Yelping Since': 'May 2012', 'Location': 'Chicago  IL'}",0,"{'IL': 35, 'TX': 1, 'CA': 1, 'NC': 1, 'MO': 1, 'TN': 2, 'WV': 1, 'FL': 1}",8
KHztm6ew-EXehnuw9fNtyg,Eric And Kevin Restaurant Talk Restaurant Dudes H.,"Downers Grove, IL",,0,5,0,2,0,0,2,1,2,1,1,{'Followers': '1'},0,12-Aug,"{'My Last Meal On Earth': 'huntley dairy mart fish burgers', 'My Second Favorite Website': 'twitter dot com', 'Location': 'Downers Grove  IL', 'Find Me In': 'the internet', 'Current Crush': ""Martin O'Malley"", 'Yelping Since': 'August 2012', 'Why You Should Read My Reviews': 'i am helpfull', 'When I’m Not Yelping...': 'probably taking a shit', 'My First Concert': 'Huntley Dairy Mart', 'Things I Love': 'restaurants'}",0,{'IL': 5},1
XiJlz9YxFbccjTVPOqxZLA,Jen W.,"Port Washington, WI",,0,5,1,3,0,0,1,1,0,4,1,{'Firsts': '1'},0,13-Oct,"{'Yelping Since': 'October 2013', 'Location': 'Port Washington  WI'}",0,"{'IL': 1, 'WI': 2, 'TX': 2}",3
Sdl16X0C9ecQFDhLw9yp5Q,Maggie Margarita  no salt  plz   R.,"La Grange, IL",“Love hate relationship with food and Im hating it ”,71,62,1,30,13,10,4,5,37,21,12,{'Bookmarks': '3'},4,11-Feb,"{'Don’t Tell Anyone Else But...': 'I put ketchup on my hot dogs.', 'Location': 'La Grange  IL', 'Find Me In': 'Burgerville', 'My Favorite Movie': 'Napoleon Dynamite', 'The Last Great Book I Read': 'Textbooks', 'Why You Should Read My Reviews': 'College kid on a budget', 'When I’m Not Yelping...': 'Tech Specialist', 'Things I Love': ""Eating anything that's fatty."", 'My Last Meal On Earth': 'Greasy Burger', 'My First Concert': 'U2', 'My Hometown': 'La Grange  IL', 'Yelping Since': 'February 2011'}",0,{'IL': 62},1
Fc2eMJTk9IZtBhE3UZDPsw,Jen S.,"Ukrainian Village, Chicago, IL",,4,12,0,6,1,2,2,1,9,0,2,"{'Bookmarks': '6', 'Tips': '2', 'Firsts': '1'}",0,13-Jun,"{'Yelping Since': 'June 2013', 'Location': 'Ukrainian Village  Chicago  IL'}",0,{'IL': 12},1
nsZdEghylWNrD962kUZ0sg,Tom Sticks and Stones C.,"Lombard, IL",“Just trying to get by so stop bothering me with stoopid questions while trying to correct my misspel”,26,29,14,11,17,1,0,0,15,3,3,"{'Bookmarks': '2', 'Followers': '1', 'Tips': '12', 'Firsts': '1'}",0,10-Aug,"{'Location': 'Lombard  IL', 'Find Me In': 'Chicago  Dallas  Los Angeles  Orlando  Tampa  Baltimore  Washington DC and more', 'My Favorite Movie': 'Amadeus', 'My Hometown': 'Arlington Hts  IL', 'Yelping Since': 'August 2010', 'Why You Should Read My Reviews': ""reviews are personal  you don't wanna get involved \xa0  however...I'm RIGHT"", 'When I’m Not Yelping...': 'working', 'My First Concert': 'Rush', 'Things I Love': 'excellent music in unexpected venues  warm nights  traveling with my family  new things  great food  excellent drinks  great big open spaces'}",0,"{'IL': 13, 'TX': 1, 'FL': 2, 'CO': 1, 'MA': 3, 'NV': 3, 'WA': 1, 'CA': 5}",8
