user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
c2LshhyPmgxmmY7udinE_w,Peter G.,"Northampton, MA",,0,4,1,3,1,0,0,0,1,0,0,{'Followers': '1'},0,October 2011,"{'Yelping Since': 'October 2011', 'Location': 'Northampton  MA'}",0,"{'MA': 1, 'IL': 1, 'CA': 2}",3
vUWRZ7wYxZo1_-cKlU6lag,Catherine W.,"Oak Lawn, IL",,29,5,1,3,2,0,0,0,6,1,2,"{'Followers': '1', 'Bookmarks': '3', 'Tips': '1'}",1,October 2009,"{'Yelping Since': 'October 2009', 'Location': 'Oak Lawn  IL'}",0,"{'IL': 4, 'CA': 1}",2
DWIBiN-UM2bE-037JpsF8Q,Jose A.,"Scottsdale, Chicago, IL",,0,3,0,0,0,0,0,0,2,2,1,{},1,July 2013,"{'Yelping Since': 'July 2013', 'Location': 'Scottsdale  Chicago  IL'}",0,{'IL': 3},1
3aWVmFV_hsa2XjGvLMVpFA,Paris A.,"Chicago, IL",,6,5,9,2,2,0,0,1,3,0,1,"{'Bookmarks': '266', 'Tips': '1'}",0,May 2015,"{'Yelping Since': 'May 2015', 'Location': 'Chicago  IL'}",0,{'IL': 5},1
sMpOVkE0fZ0C7G9mwowjgQ,Kay T.,"Phoenix, AZ",,25,1,0,0,0,0,0,0,0,0,0,"{'Bookmarks': '2', 'Tips': '2'}",0,May 2016,"{'Yelping Since': 'May 2016', 'Location': 'Phoenix  AZ'}",0,{'IL': 1},1
kJmmDvVzP6QsN_X_AILcEA,Kenneth G.,"Chicago, IL",,8,5,0,3,0,0,0,2,2,0,0,"{'Firsts': '1', 'Tips': '2'}",0,August 2014,"{'My Hometown': 'Chicago  Illinois', 'Yelping Since': 'August 2014', 'Location': 'Chicago  IL'}",0,{'IL': 5},1
o3MDwb-e1VjbyR67WoEKPA,Anita oui V.,"Chicago, IL",“Ill either love it or hate it.”,45,50,1,43,5,0,1,1,94,15,34,"{'Firsts': '2', 'Followers': '9', 'Review Updates': '1', 'Bookmarks': '11', 'Tips': '17'}",15,October 2009,"{'The Last Great Book I Read': 'fifty shades of grey trilogy', 'My Last Meal On Earth': ""mom's thai food"", 'Yelping Since': 'October 2009', 'When I’m Not Yelping...': ""I'm thinking about eating."", 'Location': 'Chicago  IL', 'My Hometown': 'CICERO', 'Why You Should Read My Reviews': 'from Rogers Park to Hyde Park  I have no geographical boundaries', 'My Favorite Movie': 'Coming to America', 'Things I Love': 'fried chicken  gravy bread  cooking  eating'}",0,"{'IL': 41, 'NV': 3, 'NM': 1, 'CA': 5}",4
hpPIwaoFBl6UAHIK7Xf8KQ,Joanne Medinah I.,"Chicago, IL",“I just make it LOOK easy”,18,21,5,2,9,2,2,6,42,14,4,"{'Followers': '3', 'Bookmarks': '1'}",0,May 2011,"{'My First Concert': 'Puff Daddy   Notorious BIG', 'Yelping Since': 'May 2011', 'Find Me In': 'wherever you can catch me', 'My Hometown': 'Chicago  IL', 'My Second Favorite Website': 'Facebook', 'My Blog Or Website': 'nu mecca.com', 'The Last Great Book I Read': ""Qur'an"", 'Most Recent Discovery': 'Co Owner of Nu Mecca Restaurant', 'When I’m Not Yelping...': 'working  working    oh yea  did I \xa0mention working', 'Location': 'Chicago  IL', 'My Favorite Movie': 'Dream Girls', 'Things I Love': 'Islam  Natual hair sites  family', 'Why You Should Read My Reviews': ""I don't sugar coat"", 'Current Crush': ""Forest Whittaker  don't ask why""}",0,{'IL': 21},1
Hk2yzIiJsJIMYdyaLpmmqg,Austine K.,"Chicago, IL",,1,3,1,0,0,0,0,0,1,0,0,{'Tips': '1'},1,October 2012,"{'Yelping Since': 'October 2012', 'Location': 'Chicago  IL'}",0,{'IL': 3},1
61TaxL71SLFGUguWf12Mhg,Daniel I.,"Chicago, IL",“I love to eat  drink and tell you all about it ”,67,115,315,63,31,13,6,2,75,20,40,"{'Firsts': '5', 'Review Updates': '2', 'Bookmarks': '59', 'Tips': '5'}",3,November 2012,"{'Yelping Since': 'November 2012', 'Find Me In': 'River North', 'My Hometown': 'Chicago  IL', 'My Second Favorite Website': 'uncrate.com', 'My Blog Or Website': 'plus.google.com  DanielI…', 'The Last Great Book I Read': ""Ishmael Beah's A Long Way Gone  Memoirs of a Boy Soldier"", 'My Last Meal On Earth': 'Tacos', 'Most Recent Discovery': 'Green Chartreuse....just try it', 'When I’m Not Yelping...': ""I'm walking my Blue Great Dane pup  Franklin.....or HE's walking me"", 'Location': 'Chicago  IL', 'Don’t Tell Anyone Else But...': ""I'm addicted to Target."", 'My Favorite Movie': 'I spend too much time eating and drinking to sit through a movie.', 'Things I Love': ""To eat and drink  Great Danes  Drinks made with Chartreuse  Target  Bacon  Chocolate covered bacon  More bacon  The Voice  Kathie Lee   Hoda...I'm not afraid to admit it  The USMC  Coffee  Shiny gold things  Tuna Poke  LED lights  Building and re purposing things  Gadgets  Home Automation  Camping  CHICAGO"", 'Why You Should Read My Reviews': ""Because they're gangster ish and awesome"", 'Current Crush': 'JRM'}",1,"{'ME': 2, 'WI': 5, 'CO': 1, 'IL': 104, 'QC': 2, 'MN': 1}",6
