user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
Xi1PtxM5tfwRLhVa1aTCsw,Ell K.,"Aurora, IL",,62,85,6,37,22,10,11,5,108,21,23,"{'Review Updates': '4', 'Followers': '6', 'Tips': '6', 'Firsts': '6', 'Bookmarks': '21'}",17,Feb-12,"{'My Hometown': 'St. Louis  MO', 'Location': 'Aurora  IL', 'Yelping Since': 'February 2012', 'Find Me In': 'My bed  Aurora IL'}",2,{'IL': 85},1
DQ8FRFur_zKug9fnZmpsIw,Adam J.,"Batavia, IL",,19,2,3,0,0,0,0,0,5,0,0,"{'Followers': '1', 'Tips': '3', 'Bookmarks': '4'}",0,Sep-13,"{'Location': 'Batavia  IL', 'Yelping Since': 'September 2013'}",0,{'IL': 2},1
dJbzhzsFFXZ3B9RThy87Dg,Amber B.,"St Charles, IL",“If it doesnt taste good I dont swallow..”,26,8,2,5,2,0,0,1,14,1,4,"{'Followers': '2', 'Tips': '1', 'Bookmarks': '1'}",2,Oct-10,"{'The Last Great Book I Read': 'Harry Potter', 'Location': 'St Charles  IL', 'Yelping Since': 'October 2010', 'When I’m Not Yelping...': ""I'm taking pictures of my cat."", 'Why You Should Read My Reviews': 'They will be honest and not blather on for 12 days.', 'Don’t Tell Anyone Else But...': 'I do love Starbucks', 'My First Concert': 'Night Ranger', 'My Favorite Movie': 'Flushed Away', 'My Second Favorite Website': 'Craigslist'}",0,{'IL': 8},1
qTqvTv_vvyaHNdcVxl0Jow,Samara T.,"Arlington Heights, IL",,8,3,1,0,0,0,0,0,0,2,0,{},0,May-16,"{'Location': 'Arlington Heights  IL', 'Yelping Since': 'May 2016'}",0,{'IL': 3},1
uJYTKFme7tlQfJHLyaQhjQ,Patty D.,"IL, IL",“wise latina”,33,107,2,56,17,21,4,9,149,33,59,"{'Review Updates': '4', 'Followers': '5', 'Tips': '2', 'Firsts': '6', 'Bookmarks': '72'}",13,Dec-06,"{'The Last Great Book I Read': 'purpose driven life', 'My Blog Or Website': 'bossfreesociety.com   createbuzznow.com', 'My First Concert': ""some 80's band"", 'Yelping Since': 'December 2006', 'When I’m Not Yelping...': 'consulting clients', 'Why You Should Read My Reviews': ""because you're already reading this..."", 'Current Crush': ""Grant Cardone's brain"", 'Don’t Tell Anyone Else But...': 'monsanto sucks  and yes  tell everyone', 'My Hometown': 'chicago', 'Location': 'IL  IL', 'Most Recent Discovery': 'my love for Improv', 'My Last Meal On Earth': 'grilled seafood platter  carpaccio   brushetta   wine   profiteroles   divine', 'Things I Love': 'sushi  dark chocolate  top shelf cocktails  seafood and great conversation', 'My Favorite Movie': 'Motorcycle Diaries; shawshank redemption', 'Find Me In': 'on the go', 'My Second Favorite Website': 'twitter  facebook'}",1,"{'NC': 2, 'MI': 1, 'CA': 3, 'AZ': 1, 'IN': 1, 'IL': 91, 'MN': 1, 'FL': 1, 'MO': 1, 'TX': 5}",10
B_V-lK6jg-gjChSsFqJOyA,Brian flecko A.,"Palatine, IL",“is a fatalist”,5,27,1,14,5,2,2,4,28,9,6,{},1,Jun-08,"{'The Last Great Book I Read': 'whiskey robber  a year in provence  chinese traders in a filipino town', 'Don’t Tell Anyone Else But...': 'im eccentric', 'Yelping Since': 'June 2008', 'When I’m Not Yelping...': 'i play video games   skype my peeps and work 2 jobs', 'My First Concert': 'ozzfest', 'My Hometown': 'why u want to know', 'Location': 'Palatine  IL', 'Most Recent Discovery': 'plans change', 'My Last Meal On Earth': 'sisig', 'Things I Love': 'to read  watch weird docs  and just plain weird and if u dont like it eff off', 'My Favorite Movie': 'pusher trilogy  and basically with any underdog in it', 'Find Me In': 'illinois'}",0,"{'IL': 26, 'St': 1}",2
hwU82hoIxWATWwUA9TSZnw,Darvin N.,"Barrington, IL",,4,30,11,17,5,2,1,5,74,28,15,"{'Tips': '19', 'Firsts': '5'}",1,Jan-11,"{'Location': 'Barrington  IL', 'Yelping Since': 'January 2011'}",0,"{'IL': 23, 'FL': 1, 'WI': 1}",3
DyZcrH4BkdoGAZXQC1mTOw,David S.,"Lake Zurich, IL",,0,14,0,10,2,1,0,1,6,0,1,"{'Review Updates': '1', 'Firsts': '2'}",0,Jul-11,"{'Location': 'Lake Zurich  IL', 'Yelping Since': 'July 2011'}",0,"{'IL': 12, 'CA': 2}",2
RSVLO6MS1qPoygf0fyZkaw,James L.,"Aurora, IL",,80,146,0,47,90,9,0,0,27,4,7,"{'Review Updates': '1', 'Followers': '2', 'Tips': '10', 'Firsts': '1'}",0,Sep-08,"{'Location': 'Aurora  IL', 'Yelping Since': 'September 2008'}",0,"{'IL': 129, 'St': 1, 'WI': 16}",3
Wk2N2NB3JTqWjS0YsyiXPA,NANCY G.,"West Chicago, IL",,0,16,0,7,1,0,1,7,19,12,8,"{'Review Updates': '1', 'Firsts': '1'}",1,Sep-10,"{'Location': 'West Chicago  IL', 'Yelping Since': 'September 2010'}",0,{'IL': 16},1
