user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
BsjxampP1hZw8D4L3YXPQA,Krissy Noodle Slurper S.,"Hanover Park, IL",,23,49,163,11,13,10,5,10,74,26,12,"{'Review Updates': '3', 'Firsts': '2', 'Tips': '36'}",10,Mar-13,"{'My Last Meal On Earth': 'Shoyu or Shio Ramen', 'Location': 'Hanover Park  IL', 'Yelping Since': 'March 2013', 'When I’m Not Yelping...': 'I eat Ramen.', 'Find Me In': 'noodle houses', 'My Favorite Movie': 'Charlie and the Chocolate Factory  Willy Wonka', 'Things I Love': 'RAMEN'}",0,"{'MI': 2, 'IL': 47}",2
DEne4NSGx1yunoiekck2Qg,Jenny G.,"San Francisco, CA",“work hard  play hard  eat good food ”,144,290,148,73,95,71,32,19,355,129,126,"{'Review Updates': '3', 'Followers': '9', 'Firsts': '33', 'Bookmarks': '56', 'Tips': '478'}",65,Jan-07,"{'My Hometown': 'City by the Bay', 'Location': 'San Francisco  CA', 'Yelping Since': 'January 2007', 'When I’m Not Yelping...': 'practicing my ninja skills', 'Find Me In': 'some dessert place somewhere', 'Things I Love': 'great food and good laughs.', 'My First Concert': 'Muse'}",5,"{'NV': 3, 'CA': 137, 'Te': 1, 'IL': 2, 'TX': 7}",5
MlAIqepOfdBsGUI70CI6lA,Catherine A.,"Coppell, TX",,151,46,5,15,15,10,4,2,28,9,6,"{'Followers': '2', 'Firsts': '2', 'Bookmarks': '323', 'Tips': '14'}",2,Aug-11,"{'Yelping Since': 'August 2011', 'Location': 'Coppell  TX'}",0,"{'GA': 2, 'VA': 2, 'IL': 2, 'FL': 4, 'UT': 2, 'IN': 1, 'AL': 2, 'SC': 2, 'TX': 20, 'MN': 1, 'OH': 2, 'NC': 2, 'CA': 3, 'WV': 1}",14
TJ0GzX5RgPGUitn05bMA0w,Stacy Stacella S.,"Scottsdale, AZ",,8,17,4,9,5,1,2,0,27,13,12,"{'Review Updates': '1', 'Followers': '1', 'Firsts': '3', 'Bookmarks': '11', 'Tips': '20'}",2,Dec-12,"{'Location': 'Scottsdale  AZ', 'Yelping Since': 'December 2012', 'When I’m Not Yelping...': ""I'm a UX Architect"", 'Find Me In': 'coffee shop', 'My Favorite Movie': 'Time Bandits', 'Things I Love': 'modern design  Royksopp  Thievery Corporation  legos  science  textile arts'}",0,"{'IL': 1, 'AZ': 12, 'CA': 2, 'TX': 2}",4
fRHUU7Q7yY589lxeMq9HMg,Brian S.,"Elgin, IL",,0,3,0,0,0,0,0,0,0,0,0,{'Review Updates': '1'},0,Jul-14,"{'Yelping Since': 'July 2014', 'Location': 'Elgin  IL'}",0,{'IL': 3},1
4_AECQ2uH_uGmcAnmHKYTw,Tony P.,"Lake in the Hills, IL",,38,19,0,12,3,2,0,2,14,6,5,"{'Followers': '2', 'Firsts': '1', 'Tips': '1'}",3,Jan-10,"{'Yelping Since': 'January 2010', 'Location': 'Lake in the Hills  IL'}",0,{'IL': 19},1
nR6r2pngtEUumdNNQhmhFw,Jaime H.,"Lake in the Hills, IL",,17,4,0,4,0,0,0,0,1,1,1,{},0,May-15,"{'Yelping Since': 'May 2015', 'Location': 'Lake in the Hills  IL'}",0,{'IL': 4},1
3FrVCF1dsjafUB4vTm0V5Q,Mike Mr.Fix it P.,"Des Plaines, IL",,36,10,14,7,1,1,1,0,2,1,1,"{'Firsts': '2', 'Tips': '26'}",5,Apr-13,"{'My Last Meal On Earth': 'pizza and pasta', 'Things I Love': 'Family and baseball', 'Yelping Since': 'April 2013', 'Location': 'Des Plaines  IL'}",0,{'IL': 10},1
y1bybvkQPnxtVvyikVhdUQ,Graham F.,"Hampshire, IL",,19,24,14,12,5,3,4,0,18,6,2,"{'Followers': '2', 'Firsts': '3', 'Bookmarks': '1', 'Tips': '3'}",16,Jul-10,"{'Yelping Since': 'July 2010', 'Location': 'Hampshire  IL'}",0,"{'NV': 1, 'IL': 16, 'OR': 1, 'CA': 2, 'VT': 1, 'NJ': 1, 'HI': 2}",7
3suYtAMUUkGJAVQrIdLzkw,Cinder M.,"Chicago, IL",“Tell it like it is.”,0,43,7,12,9,7,9,6,22,7,4,"{'Review Updates': '4', 'Firsts': '1', 'Bookmarks': '1', 'Tips': '1'}",2,Sep-11,"{'Most Recent Discovery': 'Yelp', 'My First Concert': 'Queen with Freddy Mercury', 'Yelping Since': 'September 2011', 'Location': 'Chicago  IL', 'The Last Great Book I Read': 'Pillars of the Earth by Ken Follett'}",0,"{'IL': 42, 'St': 1}",2
