user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
U-28uzBtv-1UM4VIyuerZg,Jackie G.,"Chicago, IL",,35,19,12,9,6,1,1,2,3,2,2,"{'Tips': '7', 'Bookmarks': '33'}",1,10-Jun,"{'Location': 'Chicago  IL', 'Yelping Since': 'June 2010'}",0,"{'CA': 2, 'IL': 17}",2
emIQ6lsuumqMVoUXpWVCfw,Kouklah M.,"Wayne, NJ",,1,30,4,11,0,0,0,19,25,13,10,"{'Tips': '6', 'Bookmarks': '40', 'Firsts': '3', 'Review Updates': '3'}",2,13-Jul,"{'Location': 'Wayne  NJ', 'Yelping Since': 'July 2013'}",0,"{'St': 1, 'CA': 1, 'IL': 24, 'NJ': 4}",4
c_IckSYKt1Ak64_yGLtJkA,Sharon M.,"Mercedes, TX",,7,20,18,13,6,0,0,1,10,1,3,"{'Tips': '5', 'Firsts': '1', 'Review Updates': '1'}",0,12-Jun,"{'Location': 'Mercedes  TX', 'Yelping Since': 'June 2012'}",0,"{'CA': 1, 'NY': 4, 'NM': 3, 'TN': 1, 'AZ': 1, 'TX': 8, 'IL': 1, 'AR': 1}",8
RphXBo3-b3syO4slvt7Y-Q,Matt I.,"Chicago, IL",,0,2,0,0,0,0,0,0,1,0,0,{'Bookmarks': '9'},0,11-Sep,"{'Location': 'Chicago  IL', 'Yelping Since': 'September 2011'}",0,{'IL': 2},1
ddOs4nE1tVW_sFAlSn9u_A,Catalina B.,"Riviera Beach, FL",,0,23,11,11,3,3,2,4,21,3,1,"{'Tips': '4', 'Bookmarks': '2', 'Firsts': '2'}",2,14-Mar,"{'Location': 'Riviera Beach  FL', 'Yelping Since': 'March 2014'}",0,"{'IL': 3, 'FL': 20}",2
PkmO99zR-93y5uWZ_U1sSg,Lani  licious N.,"Chicago, IL",“Veggie Lover”,157,168,14,52,48,36,16,16,313,78,147,"{'Tips': '3', 'Bookmarks': '27', 'Followers': '7', 'Firsts': '8', 'Lists': '2', 'Review Updates': '4'}",33,7-Nov,"{'Location': 'Chicago  IL', 'My Hometown': 'Orange County  California', 'My Blog Or Website': 'sugarrockcatwalk.com', 'When I’m Not Yelping...': 'am eating at a restaurant that will be Yelped later', 'Don’t Tell Anyone Else But...': 'I fear for the day my metabolism slows down', 'Yelping Since': 'November 2007', 'My Last Meal On Earth': 'Food from Au Lac Vegetarian Resaturant in Fountain Valley  CA', 'My Favorite Movie': 'Amelie'}",3,"{'CA': 14, 'IL': 24, 'TX': 1, 'MA': 1, 'NY': 110}",5
Bd5NZMf5RA_NKhDdJQjL7g,Subhashini Subha2531 S.,"Irving, TX",“Yelp to help   ”,0,13,5,6,2,3,0,2,7,0,1,"{'Tips': '2', 'Review Updates': '1'}",2,13-Dec,"{'Current Crush': 'huh... I do have secrets ;', 'The Last Great Book I Read': 'I never read books.', 'Don’t Tell Anyone Else But...': 'There is no secret to share', 'My First Concert': 'Not yet  But it would be Imagine Dragons ;', 'Why You Should Read My Reviews': 'I love to compliment if anything is good. Same way I love to damage if is bad  D', 'My Favorite Movie': ""Don't remember any"", 'Yelping Since': 'December 2013', 'Location': 'Irving  TX', 'My Second Favorite Website': 'facebook.com', 'Find Me In': 'My house', 'My Hometown': 'Irving', 'When I’m Not Yelping...': 'I am sleeping or playing with my pup', 'Most Recent Discovery': 'I look gorgeous in my new haircut  D', 'Things I Love': 'Puppies  Turquoise jewels  Sushi  Chinese food', 'My Last Meal On Earth': ""Olive Garden's Stuffed Chicken Marsala""}",0,"{'IL': 8, 'TX': 5}",2
typZpGYGBj7yL17ItOlQXQ,Sarah H.,"Chicago, IL",,35,13,1,7,1,1,2,2,13,6,4,"{'Tips': '1', 'Bookmarks': '110', 'Firsts': '1'}",1,11-Apr,"{'Location': 'Chicago  IL', 'Yelping Since': 'April 2011'}",0,"{'CA': 1, 'IL': 12}",2
C_Y-1bwXf8FGDNb8N98yMw,Jonathan W.,"Lake Geneva, WI",,5,1,0,0,0,0,0,0,1,1,0,{},0,12-Dec,"{'Location': 'Lake Geneva  WI', 'Yelping Since': 'December 2012'}",0,{'IL': 1},1
K27z8C9Lw2WzC8A401sUVQ,S R.,"Chicago, IL",,4,109,15,60,37,0,4,8,78,33,27,"{'Tips': '14', 'Bookmarks': '351', 'Firsts': '5', 'Followers': '1', 'Review Updates': '15'}",5,12-Feb,"{'Current Crush': 'Food  beer', 'Location': 'Chicago  IL', 'My Hometown': 'Chicago  il', 'Things I Love': 'Food  beer', 'Why You Should Read My Reviews': 'never a 3 star review. Good  sucks  or ignored; those are the categories.', 'Yelping Since': 'February 2012'}",0,"{'NC': 2, 'NB': 1, 'TN': 4, 'MN': 5, 'VA': 1, 'MA': 3, 'SD': 1, 'CA': 1, 'IL': 46, 'KY': 1, 'PA': 5, 'ME': 5, 'NH': 3, 'MT': 1, 'OH': 1, 'IN': 1, 'MI': 2, 'QC': 2, 'MO': 3, 'NY': 5, 'NE': 2, 'RI': 1, 'WI': 2, 'KS': 1, 'FL': 4, 'AB': 1, 'OR': 3}",27
v-FR8oCc7MlNMYo9cJN6pQ,Weslie I.,"Evanston, IL",,77,19,2,11,4,3,0,1,21,10,5,{},0,15-Mar,"{'Location': 'Evanston  IL', 'Yelping Since': 'March 2015'}",0,"{'IL': 18, 'BC': 1}",2
q4shLm1bzoq6Yb7CKKwjHQ,Marcee W.,"Chicago, IL",,49,232,74,37,98,78,16,3,186,26,62,"{'Review Updates': '10', 'Bookmarks': '4', 'Followers': '3', 'Firsts': '4'}",10,9-Sep,"{'Location': 'Chicago  IL', 'When I’m Not Yelping...': ""I'm buying selling vintage treasures."", 'Find Me In': 'Rogers Park', 'My Hometown': 'Chicago  IL', 'Things I Love': 'Good food  good friends  good times', 'Yelping Since': 'September 2009'}",4,"{'CA': 12, 'IL': 132, 'FL': 5, 'WI': 1}",4
