user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
8QBztOFDZlu7N1rzXu0-RQ,Alex B.,"Miami, FL",,164,56,45,26,11,11,3,5,66,5,26,"{'Bookmarks': '33', 'Firsts': '2', 'Tips': '40', 'Followers': '2'}",1,December 2010,"{'My First Concert': 'Jack Johnson or Jay Z .. Cant remember which came first', 'Things I Love': 'Real Estate  Exotic Vacations  My Bugaboo', 'Yelping Since': 'December 2010', 'My Blog Or Website': 'MiamiStandardRealty.com', 'Location': 'Miami  FL', 'When I’m Not Yelping...': 'Work in Real Estate', 'My Hometown': 'Miami  FL', 'Find Me In': 'Miami  Miami Beach or Brickell'}",0,"{'FL': 42, 'LA': 2, 'CA': 1, 'NY': 3, 'IL': 2, 'NJ': 1, 'MA': 3, 'SC': 1, 'WA': 1}",9
BP-sUnTjMxcvYQyAiPo3ow,Brian Boca Bosco B.,"Boca Raton, FL",,0,14,7,4,5,2,2,1,28,8,6,{'Firsts': '1'},0,August 2011,"{'Yelping Since': 'August 2011', 'Location': 'Boca Raton  FL'}",0,"{'FL': 9, 'IL': 5}",2
5F5FXvtluNdmxigGLWRgyA,Christopher M.,"Cambridge, MA",,323,5,120,1,2,2,0,0,0,0,0,"{'Bookmarks': '2', 'Firsts': '2', 'Tips': '102'}",0,August 2011,"{'Yelping Since': 'August 2011', 'Location': 'Cambridge  MA'}",0,"{'NY': 1, 'IL': 1, 'MA': 2, 'WI': 1}",4
yEIInCgX7-Y6lPH4tThVzw,Aley V.,"Oklahoma City, OK",,21,94,18,48,25,14,4,3,136,66,83,"{'Bookmarks': '20', 'Firsts': '5', 'Tips': '2', 'Review Updates': '2', 'Followers': '9'}",28,May 2014,"{'Yelping Since': 'May 2014', 'Location': 'Oklahoma City  OK'}",2,"{'FL': 2, 'MO': 1, 'KS': 1, 'TX': 5, 'IL': 2, 'NY': 1, 'CA': 3, 'OK': 75, 'WA': 4}",9
2YFmxZR0OZxq_1nHWquXMw,Claire S.,"Chicago, IL",“Live slow  die old.”,21,73,25,28,35,8,2,0,103,37,41,"{'Tips': '8', 'Review Updates': '3', 'Followers': '6'}",9,July 2013,"{'Yelping Since': 'July 2013', 'Location': 'Chicago  IL'}",2,"{'IL': 51, 'TX': 1, 'WA': 1, 'WI': 1, 'MD': 1, 'NY': 1, 'CA': 10, 'OH': 4, 'MI': 3}",9
W3o61WWDdvFXc0LURM1L7g,A khivi K.,"Clifton, NJ",,0,545,0,65,292,128,41,19,320,52,109,"{'Lists': '10', 'Firsts': '34', 'Tips': '8', 'Review Updates': '18', 'Followers': '6'}",22,February 2007,"{'Yelping Since': 'February 2007', 'Location': 'Clifton  NJ'}",0,"{'DE': 2, 'NH': 1, 'PA': 4, 'ME': 15, 'MD': 2, 'NY': 42, 'IL': 12, 'MO': 4, 'MA': 1, 'VA': 6, 'NJ': 61}",11
7YbYGE3rZdrF-IwOLjq4rw,Jay M.,"Chicago, IL",,12,15,6,6,3,2,1,3,2,5,1,"{'Bookmarks': '1', 'Firsts': '2'}",1,September 2012,"{'Yelping Since': 'September 2012', 'Location': 'Chicago  IL'}",0,{'IL': 15},1
pEVS3XFQsQG4tpBxyPhZbg,Stephanie B.,"Chicago, IL",,3,4,4,2,2,0,0,0,2,0,2,{'Bookmarks': '99'},0,August 2013,"{'Yelping Since': 'August 2013', 'Location': 'Chicago  IL'}",0,{'IL': 2},1
XKhIfZ-eORBfLzKGoUG_RQ,Lissette can u say woody wood pecker M.,"Chicago, IL",“And the world continues to kill me.”,23,31,0,6,13,6,3,3,81,26,35,"{'Lists': '1', 'Bookmarks': '2', 'Firsts': '1', 'Followers': '2'}",20,February 2008,"{'Current Crush': 'Megan Fox', 'My First Concert': 'Belanova...lol', 'Most Recent Discovery': 'A reassurence for Gel Pens', 'Don’t Tell Anyone Else But...': ""I'm a compulsive shopper"", 'The Last Great Book I Read': 'Memoria De Mis Putas Tristes', 'My Last Meal On Earth': 'Margies french fries with mild sauce....', 'Why You Should Read My Reviews': 'Im a great person', 'My Hometown': 'Addison  IL', 'Yelping Since': 'February 2008', 'When I’m Not Yelping...': 'Im running around like a mad women.', 'Location': 'Chicago  IL', 'My Favorite Movie': 'Man on Fire.. My beautiful Mexico City', 'Find Me In': 'West side Woot Woot.'}",0,{'IL': 31},1
7Cxxw4TBI219Uuq8UhWUKA,o k.,"Northbrook, IL",“is just a straight shooter with upper management written all over him”,6,14,1,8,2,1,1,2,24,0,6,"{'Bookmarks': '279', 'Review Updates': '1', 'Followers': '1'}",0,November 2008,"{'Yelping Since': 'November 2008', 'Location': 'Northbrook  IL'}",0,"{'KY': 1, 'IL': 12, 'MI': 1}",3
