user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
dEr01UBAeEpzTTWZe-ZAWA,Tia J.,"Chicago, IL",,155,18,36,16,2,0,0,0,15,4,6,"{'Firsts': '7', 'Bookmarks': '178', 'Tips': '53', 'Followers': '1'}",3,July 2011,"{'Location': 'Chicago  IL', 'Yelping Since': 'July 2011'}",0,{'IL': 18},1
idgf94AcOjHsiO4kNI9CPA,kara c.,"Elgin, IL",,0,3,0,0,0,0,0,0,0,0,0,{},0,November 2011,"{'Location': 'Elgin  IL', 'Yelping Since': 'November 2011'}",0,{'IL': 3},1
Trc27MR1LU9g-3tdyH8opg,Flo M.,"Itasca, IL",,153,30,1,20,6,3,0,1,45,4,19,"{'Review Updates': '1', 'Followers': '2'}",4,March 2015,"{'Location': 'Itasca  IL', 'Yelping Since': 'March 2015'}",0,"{'US': 1, 'IL': 29}",2
LmaX93altnk1DD6ZHVEYfA,Maria R.,"Crystal Lake, IL",,0,6,0,4,1,1,0,0,1,0,0,{},0,September 2016,"{'Location': 'Crystal Lake  IL', 'Yelping Since': 'September 2016'}",0,"{'US': 1, 'IL': 5}",2
BkQMXOfI-fLMMTo34Va2Bw,Diane M.,"Cary, IL",,0,4,0,2,1,0,0,1,0,0,0,{'Review Updates': '1'},0,May 2014,"{'Location': 'Cary  IL', 'Yelping Since': 'May 2014'}",0,{'IL': 4},1
krcNZk5wiOMDkcnrEuyMiQ,Rita R.,"Rockford, IL",,10,33,2,23,2,2,4,2,73,10,7,"{'Firsts': '6', 'Review Updates': '1', 'Tips': '2'}",3,December 2010,"{'Location': 'Rockford  IL', 'Yelping Since': 'December 2010'}",0,"{'WI': 1, 'IL': 32}",2
mt0Kg16i1OVim4zjwYYWrg,T M.,"Downers Grove, IL",,0,55,1,9,23,7,5,11,41,10,2,"{'Firsts': '2', 'Bookmarks': '84', 'Tips': '14'}",2,August 2013,"{'Location': 'Downers Grove  IL', 'Yelping Since': 'August 2013'}",0,"{'TN': 5, 'Qu': 1, 'IL': 46, 'QC': 1, 'NY': 2}",5
LgE-xvC3OCxTU1iNIbDiNA,Dave M.,"Bolingbrook, IL",,0,15,0,6,4,2,0,3,9,4,2,"{'Firsts': '1', 'Review Updates': '1', 'Bookmarks': '170'}",0,February 2012,"{'Location': 'Bolingbrook  IL', 'Yelping Since': 'February 2012'}",0,{'IL': 15},1
vdxLaEDtY0iwxPVY1d4_yA,Erik M.,"Carol Stream, IL",,14,1,0,0,0,0,0,0,2,0,1,{},1,April 2014,"{'Location': 'Carol Stream  IL', 'Yelping Since': 'April 2014'}",0,{'IL': 1},1
hYk8kUMtaFYZD2u7CUWv5w,Steve B.,"Wheaton, IL",,0,3,3,0,0,0,0,0,2,0,0,{},0,October 2015,"{'Location': 'Wheaton  IL', 'Yelping Since': 'October 2015'}",0,"{'WA': 1, 'IL': 2}",2
F_C9Y3o_jWiGfRgkGrQhEQ,Danielle M.,"Winfield, IL",,0,3,0,0,0,0,0,0,2,0,0,{},0,June 2016,"{'Location': 'Winfield  IL', 'Yelping Since': 'June 2016'}",0,"{'MI': 1, 'IL': 2}",2
Llfipg1N11mtfTO_X3kTOQ,Mike M.,"Wheaton, IL",,0,9,0,7,1,1,0,0,3,0,0,{},0,August 2011,"{'Location': 'Wheaton  IL', 'Yelping Since': 'August 2011'}",0,"{'CA': 1, 'IL': 7, 'VA': 1}",3
