business_id,username,user_id,review_id,review_text,review_date,total_words,review_rating,cal_affin_rating,cal_valder_rating,affin_word_score,cal_valder_compound,cal_valder_pos,cal_valder_neg,cal_valder_neu,need_inspection,no_of_text_chars
china-chef-1-carol-stream-8,Amy R.,ii4StEJJjf_Dbv7klM0uzQ,rwbhu3hv2yUMxf8TAAMGCQ,"Ordered General Tso&#39;s chicken, Sesame chicken, and chicken fried rice. They were all very good. The fried rice had a little too much soy sauce, but it may have just been enough not to add more soy sauce. It was tasty, no matter what.

The delivery time was very reasonable at about 20 to 30 minutes, as was the price. I will be trying more dishes from this restaurant.",10/05/16,42,4,1,1,8,0.21950000000000003,0.595,0.301,5.104,No,372
china-chef-1-carol-stream-8,Jesus R.,LY5HvyBvBvT6_a11-j0BzQ,Vh90dC08Kl5Ji0nDph2xpw,"Food is good but when we ordered delivery it took over 2 hours for them to deliver.   They tried to first tell us it was traffic but we only live about 12 minutes away,  approx. 6.8 miles.
Apparently they are under new ownership and no one there speaks English. 
Food was cold..noodles were supposed to be crispy but was like spaghetti because they absorbed all the sauce.
We were very patient with them but they showed no sympathy for the fact they messed up. 
Sorry to say i will never order from here again.",07/07/16,49,1,2,0,14,-0.024600000000000025,0.41500000000000004,0.562,6.023000000000001,No,510
china-chef-1-carol-stream-8,Robyn W.,lGBZ7Su63Q2DF3gHjA8Ncw,vx69NmVh60ZpNpfwjlI_4g,"I ordered food through grub hub Saturday night at 6:23. My delivery time was 7:26-7:36. My food didn&#39;t arrive until  8:08, more than 30 minutes late and very cold. I called the restaurant and they apologized but didn&#39;t offer anything. I said that I would need a refund as they were way outside the delivery time, I was very hungry and everything had to be microwaved. They offered a credit for the next visit and would not give me a refund. I called grub hub, who was very kind and said that they would give me a refund if the restaurant did not. The restaurant refused and grub hub kindly refunded me and gave me wonderful customer service. On to the food: the taro bubble tea tasted as it should. The chicken lo mein was flavorless. I had never had this low of quality at an Asian buffet. There was no seasoning, it was like eating plain spaghetti noodles with my chicken. The shrimp wonton soup base was in a separate container from the wontons. The base was intolerably salty. The wontons were all mushed together with two random thin noodles that didn&#39;t belong. There was almost no shrimp in them even though they cost more than other varieties of wontons. The cold boring food and customer service from the restaurant was a huge disappointment. I would have been even more upset if I had accepted the credit as I never want to eat food from here again. I have had so much Asian food and have never had anything so subpar.",23/10/16,152,1,1,1,-8,0.9623999999999996,1.29,1.013,14.697999999999999,No,1439
china-chef-1-carol-stream-8,Joselyn C.,uZmSY3ZuFTa2aoUvFCZpoA,DOcDiL4XCqsIKvG3qZI0hQ,"Food wasnt bad. Ordered a small plain fried rice &amp; an order crab ragoon.
But got food poisoning from this place !",09/10/16,18,1,1,0,-14,-0.32639999999999997,0.588,0.478,1.934,No,117
china-chef-1-carol-stream-8,Lauren S.,rkyxA3VIBanOdCxFbQH0Xg,4aeAiTeZyRcmGfrfG8GNCg,"We have a tradition when we move to a new place - always order Chinese food the first night we move in. We moved from downtown Chicago where there are a million wonderful Chinese restaurants that delivered to us. We were a bit nervous because we don&#39;t always have the best luck finding a new place right away. We&#39;ve lived here 3 weeks and already ordered from here twice! We LOVE it! Everything we&#39;ve gotten has been wonderful. 
The reason I deducted a star: there is no small regular wonton soup and no fully steamed pot stickers. Those are two Chinese staples in my eyes.",18/05/16,65,4,2,3,14,2.0136,1.6239999999999999,0.317,6.058999999999999,No,585
china-chef-1-carol-stream-8,Martyna R.,LUHNezL_RbaHzWnlONtvDA,Eb68UqSTSwZtefyN4uJiRA,"My boyfriend and I just ordered for delivery for the first time! Wow!!!!! Everything we got was still steaming hot when it was delivered! We got the following dishes: 


BBQ pork fried rice : tasted great, my boyfriend needed a little more soy sauce but for me it was just right

Mongolian beef: best Mongolian we&#39;ve had from a Chinese place!!!! The vegetables tasted fresh not frozen the beef tasted fresh! My favorite so far, it also did have a little spice factor to it which we enjoyed!!!

General Taos chicken: also great! The sauce sits at the bottom so make sure to stir well! Had great flavor chicken tasted fresh!

Chicken with black bean sauce: my favorite !!!!!! Such fresh, crunchy vegetables!!!! And the sauce and chicken were amazing!!!



Overall, this Chinese restaurant has been one of the best we have tried! We&#39;ve never received this many food for the price and not to mention the freshness! Will definitely order again and recommend!!",05/09/15,137,5,2,5,41,7.5247,4.626,0.0,10.373999999999999,No,962
china-chef-1-carol-stream-8,Natasha A.,mqhNTR5CBdWc-rE7F_MLfw,q6Nxn0Ng_BN5amX2UpqcAw,I ordered a vegetarian lo mein and a honeydew melon smoothie with tapioca yesterday afternoon. I had asked for the low mein to have light oil and what I received was the exact opposite. The noodles were soaked in oil and soy sauce. It was terrible. The saving grace was the honeydew melon smoothie. Would visit again just for that maybe.,05/10/16,38,2,1,0,-16,-0.3284,0.286,0.724,4.99,No,337
china-chef-1-carol-stream-8,Sam P.,CmKQyk8CfMVjoj-l4HepEw,t6yllZdKIfe8hfFVyESpvA,"While a certain other popular restaurant is taking its sweet time reopening in Naperville, we&#39;ve been forced to look elsewhere for our bubble tea. I&#39;m pleased to say, we&#39;ve finally found the next best in the area! I recommend the mango tapioca. 

Oh yea, their food is alright, too.

Just kidding! We had Mongolian chicken, which we ordered extra spicy, and it was perfect. Crab Rangoon was pretty bland, so I&#39;d skip that next time. Same with the barbecue pork. I think I was expecting Filipino style barbecue pork, so was obviously disappointed with the chewy red mess they served, but that&#39;s my fault for having my porks confused. I think I read that their chicken fried rice is delightful, so I will add that onto my list of dishes to try next time I need my tapioca smoothie.",01/09/15,97,4,1,3,2,2.9937,2.61,0.41200000000000003,6.977,No,799
china-chef-1-carol-stream-8,Laura S.,5H-e2s3oACFwFNn5xFPJpA,H9obiypyDSgf9DoHLDSyYg,"Great food, fast service, clean facility. 

Easy to order online; even has name slots for each item ordered which is very useful when ordering fit a group.

Their chicken is delicious. Many Asian restaurants I have ordered chicken at scared me enough not to go back, not an issue here.

Everything was literally perfect.",27/08/15,42,5,2,3,18,2.3038,2.0700000000000003,0.146,2.784,No,320
china-chef-1-carol-stream-8,Amy H.,hkb5eTgdXQ_CNtGmWBaq1A,4BN3tmTCgYD6-HnBGnVw1Q,"I stopped by here because i couldn&#39;t find another restaurant I was looking for. I saw their lunch special posted outside so I decided to give it a try. The place was very bare. There weren&#39;t any decorations- jut tables and chairs. I wonder if this is a new restaurant.

I ordered the Szechuan shrimp and it was a big portion. I ate half of it and left the other half for dinner. I thought the flavor was alright. It was a little bland for my taste buds. However, it was a very good deal.",19/07/15,54,3,2,1,29,0.9183,0.92,0.16,8.919999999999998,No,495
china-chef-1-carol-stream-8,Andrii L.,ewtL2ohGTL_a7dwCXCqLZg,1D22S80kcDcmMjwesw5m6g,Good food. I wish they have Chinese  carp fish in sauce. Really like Wong tong noodle soup and bento box.and fresh snoozy .,27/06/16,20,5,1,2,7,1.4663,1.383,0.0,1.617,No,123
china-chef-1-carol-stream-8,Michael V.,2zX_qQUGocOdbFL-k8U0VA,U62fWchPX4BaWOjWRZOsYQ,"Dishes were tasty and delivery was fast.

BBQ Pork Fried rice 5 stars
Salt and Pepper Pork-5 stars
Salt and Pepper Tofu-4 stars",17/12/15,18,4,1,0,7,0.0,0.0,0.0,2.0,No,127
china-chef-1-carol-stream-8,AMANDA C.,cjbUZYDUF_LfH1archnaIA,qZzYbRXyvOudOsbwLwBQ5g,"This was my go to Chinese place for the past 6 months. The always empty dining room kinda threw me off the first few times. The food is really good. But we made the mistake of eating there last night. I had 1 serving of my noodles and of course asked for the rest of it to be wrapped up (yay lunch tomorrow), they brought our food into the kitchen to wrap it up. Which I&#39;m not a huge fan of, but ok. When they brought it back out, most of it had disappeared. When I asked the waitress what happened to the rest of it, she said that was all that was left. I told her no, there was a lot left it wouldn&#39;t have fit in the tiny little box they gave me. She continued to argue and then walked away. Only time someone came back was to get our money. 

No we are sorry we dropped it or ran out of bigger boxes nothing. This really is a shame as the food is good and this place is less than 5 minutes away. Time to find another place.",19/10/15,103,1,1,-1,-1,-1.6534,0.701,1.458,10.841,No,934
china-chef-1-carol-stream-8,Marie N.,2AitGYD1RDsjgRRcBfvcAw,fwpD5uauJ0a--bz_MtCIwg,"We walked in and ordered for carry out.  Our 4-star rating is based on:
Sweet and Sour chicken - 4 stars
braised noodles with vegetables - 4 star. 
vegetable fried rice- 5 star
egg rolls - 3 star because it was not a typical American-style egg roll. It should have been listed as a Spring roll.
Restaurant dining room cleanliness - 5 stars
Friendliness of staff - 5 stars
The wait time for our food to be prepared - 5 stars

It is probably the best Chinese food restaurant near our house so we will eat here again.",13/02/15,56,4,1,2,-4,1.303,0.383,0.0,4.617,No,514
china-chef-1-carol-stream-8,Peaceful P.,vVi0kr8v8wqV_eNW8oXoWQ,k8BbeYLv03odPrf7kMdsYw,"Attended a party at China Chef. First time and hopefully not our last. Great venue for a party or just to stop in for take out or dine in. Flavor was good, we enjoyed several dishes and had food to take home. They also have fruit smoothies and the staff is pleasant and attentive. Cute little spot for good Chinese food.",06/06/16,41,4,2,4,19,3.4148,2.1580000000000004,0.105,3.737,No,320
china-chef-1-carol-stream-8,Nicole L.,yAACM20_jx5uDnQ_CyKkHA,G45p7WljJMioKy0o5WL9cA,"Sesame chicken - yummy
Kung pao chicken - just ok
Garlic chicken - blah

I&#39;d like to try a few more dishes but this place is pretty decent and cheap. Plus it&#39;s really close!",14/09/15,23,4,2,1,19,0.8248,0.307,0.037,1.655,No,181
china-chef-1-carol-stream-8,Bill S.,COClVPwaVOsYzFX8s8Qyfg,LFBs_42s-Jqhrw7RfjvvQg,"The Mongolian beef was good, the pot stickers were OK, they were deep fried, rather than pan fried.  However the Seasame chicken was way too tough and dry.",22/08/16,22,2,1,1,-8,0.4969,0.242,0.143,1.615,No,155
china-chef-1-carol-stream-8,Spencer H.,w_RNfd0fTGSbhamIym88Ew,aNTe5n-urbmIUGpnixWElw,"The chef in China Chef definitely knows how to throw down on some good Chinese food.  

I was in the area &amp; was looking for a good Chinese restaurant that was close so I pulled out my trusted Yelp App &amp; found this place.  This place was definitely a good find.  It is in a little strip mall next to a Subway.  The parking lot is a decent size but the parking right of front next to the door can be full at times.  

I was surprised when I walked inside at how big it was &amp; how many tables they had.  It was very spacious &amp; the tables were spaced about with lots of room.  I came around lunch time.  I ordered a Mongolian beef &amp; it came with fried rice &amp; a soup.  For my soup I had the choice of egg drop or hot &amp; sour.  I went with the hot &amp; sour &amp; it was very good.  Some places taste a little bit too sour but this place was more on the hot side which I liked a lot.  

After about ten minutes the Mongolian beef came out.  It was piping hot which was a big plus &amp; you could tell it was brought to the table promptly after it was finished cooking.  The portion was a good size &amp; the food was delicious.  The fried rice that came with the food was also very good.  

The service here was very good &amp; the people who were running the place were also very nice.  I decided to come here again &amp; the second experience was just as good.  

Overall the food was delicious &amp; the service was very good.  I would definitely eat here again if I was in the area.",30/07/15,151,5,2,5,48,6.7238000000000016,3.574,0.16,16.266000000000002,No,1507
