user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
UkF6aeVASeV6xBl363JD3Q,Linda S.,"Arlington Heights, IL",,2,15,0,4,3,3,1,4,8,1,0,{'Tips': '2'},0,Oct-12,"{'Yelping Since': 'October 2012', 'Location': 'Arlington Heights  IL'}",0,"{'PA': 1, 'TX': 2, 'OH': 1, 'IL': 11}",4
O31BQVcC1U8e4DTSumFX6A,Liz C.,"San Francisco, CA",,0,11,0,7,2,0,0,2,9,11,1,{},0,Aug-07,"{'Yelping Since': 'August 2007', 'Location': 'San Francisco  CA'}",0,"{'CA': 10, 'IL': 1}",2
lzqpckfA5hlSxb524O8Q1A,Holiday B.,"Elgin, IL",,13,2,0,0,0,0,0,0,3,1,0,{'Bookmarks': '12'},0,Feb-16,"{'Yelping Since': 'February 2016', 'Location': 'Elgin  IL'}",0,{'IL': 2},1
CokRLvEE5bns_kEI5eMOxg,Jamie M.,"Marshall, MI",,1,13,14,12,1,0,0,0,0,0,0,{},0,May-14,"{'Yelping Since': 'May 2014', 'Location': 'Marshall  MI'}",0,"{'MI': 1, 'OH': 4, 'IL': 8}",3
uPifAul4hJIqy72ah1GKSA,Michelangelo FOOD CRITIC V.,"Chicago, IL",â€œHONEST REVIEWSâ€ù,701,155,1422,29,9,14,8,95,1171,981,751,"{'Followers': '38', 'Firsts': '2', 'Tips': '25', 'Review Updates': '11'}",476,Aug-14,"{'Yelping Since': 'August 2014', 'Location': 'Chicago  IL', 'Things I Love': 'GOOD FOOD ONLY'}",2,{'IL': 150},1
a2p0G3MesAc1qxrt37S5Zg,Michael And Eliza MIZA D.,"Lake Station, IN",â€œDynamic Duoâ€ù,86,47,122,11,9,12,8,7,79,9,13,"{'Firsts': '33', 'Tips': '100', 'Bookmarks': '15'}",22,Jan-12,"{'My Hometown': 'LS', 'Yelping Since': 'January 2012', 'Location': 'Lake Station  IN', 'Find Me In': 'The Region'}",0,"{'PA': 2, 'VA': 3, 'IL': 9, 'DC': 1, 'IN': 31}",5
4dGASdPk08p3oMwWzDXb8Q,Liz B.,"Arlington Heights, IL",,155,8,2,7,1,0,0,0,2,0,0,{},0,Jan-15,"{'Yelping Since': 'January 2015', 'Location': 'Arlington Heights  IL'}",0,"{'St': 1, 'IL': 7}",2
ZmMYPtEyB_qX1SXfcKgwhA,Jason K.,"Chicago, IL",,5,4,0,1,0,0,0,3,2,5,1,"{'Tips': '1', 'Review Updates': '1', 'Bookmarks': '42'}",0,Oct-10,"{'My Hometown': 'chicago', 'Yelping Since': 'October 2010', 'Location': 'Chicago  IL', 'Things I Love': 'Things'}",0,{'IL': 4},1
n5pcTOD0CCYHRBCpOIGWcw,Chris H.,"Wheaton, IL",â€œI dont do it often but hot damn I do it well  â€ù,0,5,1,3,0,0,0,2,6,2,1,"{'Followers': '1', 'Tips': '2', 'Review Updates': '1'}",0,Apr-13,"{'My Hometown': 'Darlington UK', 'Yelping Since': 'April 2013', 'Location': 'Wheaton  IL', 'Find Me In': 'Wheaton', 'Things I Love': 'Good Food Good Company'}",0,{'IL': 5},1
lDkKSL4AT2faZwClvCvLnw,John N.,"Hanover Park, IL",,2,2,0,0,0,0,0,0,1,0,0,{},0,Mar-12,"{'Yelping Since': 'March 2012', 'Location': 'Hanover Park  IL'}",0,{'IL': 2},1
D1oQrGL3C8sTE586VtymJg,Beam A.,"Elgin, IL",,1,10,0,9,1,0,0,0,0,0,0,{'Review Updates': '1'},0,Sep-12,"{'Yelping Since': 'September 2012', 'Location': 'Elgin  IL'}",0,{'IL': 10},1
wMQPhX6kJeJWa-vWNKpFSg,Rick M.,"Elgin, IL",,20,42,0,19,4,3,2,14,70,40,9,"{'Firsts': '1', 'Review Updates': '7'}",3,May-12,"{'Yelping Since': 'May 2012', 'Location': 'Elgin  IL'}",0,"{'NV': 1, 'IL': 41}",2
WDYPFdP20scfhDP06X8bKw,Trina E.,"Elgin, IL",,53,17,2,15,1,0,0,1,35,6,8,"{'Followers': '3', 'Firsts': '1', 'Tips': '4', 'Bookmarks': '10'}",9,Mar-13,"{'Yelping Since': 'March 2013', 'Location': 'Elgin  IL'}",0,"{'WI': 1, 'FL': 2, 'IL': 14}",3
BxfEKewtqnCRzLv4CvwFGg,Marc M.,"Carol Stream, IL",â€œAward winning director of photography   camera operator   cinematographerâ€ù,71,21,17,15,4,1,0,1,19,3,1,"{'Firsts': '4', 'Tips': '11', 'Bookmarks': '7'}",1,Sep-10,"{'When Iâ€™m Not Yelping...': ""I'm making pictures"", 'My Favorite Movie': 'The Graduate', 'My Hometown': 'Chicago  IL', 'Most Recent Discovery': 'Chik fil A', 'Things I Love': 'I love sushi and of course The Beatles.', 'My Second Favorite Website': 'vimeopro.com tellmystoryâ€_', 'My First Concert': 'In one night  Led Zepplin  Vanilla Fudge  Jethro Tull', 'Find Me In': 'los angeles  chicago  new york', 'Donâ€™t Tell Anyone Else But...': ""How in the world am I s'posed to answer this"", 'My Last Meal On Earth': 'Sushi with a side of kugel', 'The Last Great Book I Read': 'Start With Why by Simon Sinek', 'My Blog Or Website': 'tell my story.com', 'Current Crush': 'Tatiana Maslany  one fine actress', 'Location': 'Carol Stream  IL', 'Yelping Since': 'September 2010', 'Why You Should Read My Reviews': 'Read my reviews because they are funny and thoughtful'}",0,"{'CA': 4, 'MI': 1, 'IL': 16}",3
ai6VewAJYO7dP_8at9Lqqg,Tina M.,"Oceanside, CA",,0,3,0,0,0,0,0,0,0,1,0,{'Bookmarks': '5'},0,Apr-09,"{'Yelping Since': 'April 2009', 'Location': 'Oceanside  CA'}",0,"{'CA': 2, 'IL': 1}",2
8bU97yQ-0K6vjmJwU2lWXQ,Sean A.,"Chicago, IL",,1,3,0,0,0,0,0,0,1,0,0,{'Tips': '1'},0,Jul-12,"{'Yelping Since': 'July 2012', 'Location': 'Chicago  IL'}",0,{'IL': 3},1
axH9XtlS3KX4jxlcKQpDdg,Dee B.,"Naperville, IL",,1,1,0,0,0,0,0,0,1,0,0,{},0,Sep-15,"{'Yelping Since': 'September 2015', 'Location': 'Naperville  IL'}",0,{'IL': 1},1
t5xVrOk8yptdGcSeCZdYvg,Lauren LRod D.,"Iowa City, IA",â€œBacon makes the world go roundâ€ù,46,127,9,48,41,29,8,1,175,40,52,"{'Followers': '5', 'Tips': '11', 'Review Updates': '1'}",25,Jun-11,"{'When Iâ€™m Not Yelping...': ""I'm studying"", 'My Favorite Movie': 'Despicable me  batman  the incredibles', 'Location': 'Iowa City  IA', 'Things I Love': 'Farm to table  southern food  BBQ  cajun food  some asian fusion  a great burger  falafel  PORK  sleep.....', 'My Last Meal On Earth': 'moms mac and cheese', 'Yelping Since': 'June 2011', 'Why You Should Read My Reviews': 'I eat out... a lot'}",4,"{'PA': 4, 'NY': 79, 'CO': 2, 'FL': 4, 'PR': 1, 'Pu': 3, 'IA': 26, 'NJ': 1, 'DC': 2, 'ME': 2, 'IL': 3}",11
B51M2ak9uvsSWM1lKtKl3Q,Tom S.,"DeKalb, IL",,5,127,184,68,26,10,10,13,60,16,9,"{'Followers': '1', 'Firsts': '13', 'Tips': '9', 'Review Updates': '26', 'Bookmarks': '17'}",3,Feb-13,"{'Yelping Since': 'February 2013', 'Location': 'DeKalb  IL'}",0,"{'WI': 3, 'TX': 5, 'ON': 2, 'IA': 14, 'HI': 26, 'CA': 1, 'TN': 1, 'KY': 2, 'SC': 5, 'MO': 2, 'MI': 6, 'IN': 3, 'GA': 3, 'NE': 1, 'MN': 11, 'LA': 1, 'IL': 41}",17
jo7m3F3I5N72n8Qu2H-VCg,Ray L.,"Berwyn, IL",,35,6,3,6,0,0,0,0,1,0,1,"{'Firsts': '1', 'Bookmarks': '2'}",0,Mar-15,"{'Yelping Since': 'March 2015', 'Location': 'Berwyn  IL'}",0,"{'IN': 1, 'IL': 5}",2
IDuqAW3ZOBm860T_gtQFXA,Melanie B.,"Naperville, IL",â€œGinger and Spice and Everything Niceâ€ù,239,229,230,90,71,52,10,6,1958,1110,1536,"{'Followers': '46', 'Firsts': '39', 'Tips': '138', 'Review Updates': '11', 'Bookmarks': '41'}",1855,Aug-11,"{'Donâ€™t Tell Anyone Else But...': ""I ain't no hollaback girl"", 'The Last Great Book I Read': 'Babylon  Mespotamia and the Birth of Civilization', 'Location': 'Naperville  IL', 'Most Recent Discovery': 'Self stick athletic tape', 'Things I Love': '""Mr Sexy Lawyer""', 'Yelping Since': 'August 2011', 'Find Me In': 'High heels and an apron covered in flour'}",2,"{'15': 1, 'MI': 4, '31': 1, 'NV': 6, 'UT': 3, 'IN': 1, 'CA': 1, 'NC': 2, 'NY': 3, 'St': 1, 'IL': 119}",11
7SGvT-k4on40Ji9UQ36s4g,Tim M.,"Naperville, IL",,304,37,11,21,8,4,3,1,18,8,6,"{'Followers': '1', 'Review Updates': '2', 'Bookmarks': '37'}",1,Oct-10,"{'Yelping Since': 'October 2010', 'Location': 'Naperville  IL'}",1,"{'WI': 2, 'MN': 1, 'ME': 6, 'MA': 4, 'IL': 18}",5
pEpuvTFRVXZccHu5M4OcBQ,Mary P.,"Wheaton, IL",,0,2,0,0,0,0,0,0,0,0,0,{},0,Aug-16,"{'Yelping Since': 'August 2016', 'Location': 'Wheaton  IL'}",0,{'IL': 2},1
5meI87u7nmXrfacjvPU_6A,Karen F.,"Manhattan, NY",â€œIm a monster when it comes to food. Ill eat anything â€ù,86,120,168,28,51,30,8,3,213,66,63,"{'Lists': '6', 'Bookmarks': '81', 'Followers': '7', 'Firsts': '2', 'Tips': '1', 'Review Updates': '2'}",28,Aug-14,"{'When Iâ€™m Not Yelping...': 'I have my nose buried in a CPA book.', 'My Favorite Movie': ""Anything by Christopher Nolan   Devil Wear's Prada"", 'My Hometown': 'Naperville  IL', 'Most Recent Discovery': 'Workaholics  just a taste  youtube.com watch v qMztâ€_', 'Things I Love': 'mushrooms  calamari  salmon sushi  mac and cheese  tempura  mashed potatoes  spinach smoothies  eggplant  samosas...and carbs on carbs.', 'Find Me In': 'front of a laptop.', 'Donâ€™t Tell Anyone Else But...': 'I can watch Youtube for days... DAYS.', 'My Last Meal On Earth': 'salmon sashimi with mounds of ginger   dicon  mmmm', 'The Last Great Book I Read': 'Becker Review  Ehyyy  free advertising Peter Olinto', 'Location': 'Manhattan  NY', 'Current Crush': 'I prefer the non violent approach', 'Yelping Since': 'August 2014', 'Why You Should Read My Reviews': 'My reviews are the realest  fo sho.'}",2,"{'NY': 50, 'NJ': 4, 'VA': 14, 'FL': 3, 'OH': 1, 'IL': 48}",6
u9gR1GB1Jq-z3JzS5fvoYQ,Karen W.,"Kokomo, IN",,1,54,15,15,15,7,7,10,40,9,4,"{'Followers': '1', 'Firsts': '4', 'Tips': '3', 'Review Updates': '1', 'Bookmarks': '2'}",1,Jan-12,"{'Yelping Since': 'January 2012', 'Location': 'Kokomo  IN'}",0,"{'VT': 1, 'WI': 2, 'FL': 4, 'IN': 13, 'NJ': 1, 'KY': 1, 'IL': 32}",7
cvMIZWPxxCwQSARtRhyUuQ,Ewa C.,"Warrenville, IL",,14,45,2,14,20,4,5,2,33,6,9,"{'Followers': '1', 'Firsts': '3', 'Review Updates': '2'}",0,Apr-13,"{'Yelping Since': 'April 2013', 'Location': 'Warrenville  IL'}",0,"{'WA': 2, 'IL': 43}",2
PRSmcDmhGRFRkHPguGg5rQ,Marissa V.,"Schaumburg, IL",,3,3,0,0,0,0,0,0,1,0,2,{},0,Jul-13,"{'Yelping Since': 'July 2013', 'Location': 'Schaumburg  IL'}",0,{'IL': 3},1
pAiwbGupdtXCS4JcDzA5iA,Harssh S.,"Bloomington, IN",,45,1,0,0,0,0,0,0,0,0,1,{'Tips': '1'},0,Sep-14,"{'Yelping Since': 'September 2014', 'Location': 'Bloomington  IN'}",0,{'IL': 1},1
S-bJ7jGZQyFknWOwZn55yg,Jake S.,"Loves Park, IL",,0,15,3,8,3,1,1,2,13,3,4,"{'Firsts': '3', 'Tips': '2'}",1,Sep-14,"{'Yelping Since': 'September 2014', 'Location': 'Loves Park  IL'}",0,"{'VT': 1, 'PA': 1, 'FL': 1, 'WI': 2, 'IL': 10}",5
W4LiEwjsEjKZndY5lZzJXw,Juan El Guapo V.,"Schaumburg, IL",,20,8,1,6,0,0,0,2,10,0,0,"{'Firsts': '4', 'Tips': '14', 'Bookmarks': '2'}",0,Jun-11,"{'My Hometown': 'Schaumburg  IL', 'Yelping Since': 'June 2011', 'Location': 'Schaumburg  IL'}",0,{'IL': 8},1
py26Vbbkzrc-m59Rc-kvgA,Hugo hugoboss B.,"Algonquin, IL",â€œwhose got the motts  â€ù,82,72,37,19,20,14,8,11,51,21,24,"{'Followers': '1', 'Firsts': '21', 'Tips': '166', 'Review Updates': '6'}",16,Jun-10,"{'When Iâ€™m Not Yelping...': ""I'm talking rocks"", 'My Favorite Movie': 'caddy shack', 'My Hometown': 'Boston  Ma', 'Most Recent Discovery': 'Ricky Martin is gay', 'Things I Love': 'Thai  Japanese  Italian', 'My Second Favorite Website': 'other Yelp page', 'My First Concert': 'cover girls', 'Find Me In': 'YouTube', 'Donâ€™t Tell Anyone Else But...': 'I secretly run this', 'My Last Meal On Earth': 'spinach salad', 'The Last Great Book I Read': 'the one im currently writing', 'Location': 'Algonquin  IL', 'Current Crush': 'My 2 year old', 'Yelping Since': 'June 2010', 'Why You Should Read My Reviews': ""Cuz I'm the boss""}",0,"{'WI': 1, 'MN': 1, 'IL': 64, '21': 1, 'MA': 1, 'NY': 1}",6
WKD2Z9MqbNpGHYyUo6Sz7Q,Melissa F.,"Streamwood, IL",,106,3,0,0,0,0,0,0,2,1,3,{'Tips': '1'},0,Jan-13,"{'Yelping Since': 'January 2013', 'Location': 'Streamwood  IL'}",0,{'IL': 3},1
r2E1qdiL747kjWaUd511CQ,Jonathan S.,"Chicago, IL",,2,50,1,26,4,3,8,9,57,11,8,"{'Firsts': '2', 'Tips': '3', 'Bookmarks': '137'}",2,Apr-10,"{'Yelping Since': 'April 2010', 'Location': 'Chicago  IL'}",0,"{'HI': 2, 'WA': 2, 'MO': 3, 'FL': 3, 'UT': 6, 'IA': 1, 'NY': 4, 'NC': 5, 'CA': 9, 'OK': 1, 'IL': 14}",11
svWG-LW7b9CnbUPEA1SMmg,Matthew C.,"Naperville, IL",,0,3,0,0,0,0,0,0,0,0,0,"{'Firsts': '1', 'Tips': '1', 'Review Updates': '1'}",0,Jul-16,"{'Yelping Since': 'July 2016', 'Location': 'Naperville  IL'}",0,"{'MI': 1, 'IL': 2}",2
